Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
ACAD,Acadia National Park,Mammal,1,Artiodactyla,Cervidae,95052,180703,Active,Alces alces,Moose,,Present
ACAD,Acadia National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,"Northern White-tailed Deer, Virginia Deer, White-tailed Deer",,Present
ACAD,Acadia National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,"Coyote, Eastern Coyote",,Present
ACAD,Acadia National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,"Black Fox, Cross Fox, Eastern Red Fox, Fox, Red Fox, Silver Fox",,Present
ACAD,Acadia National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,"Bay Lynx, Bobcat, Red Lynx, Wild Cat",,Present
ACAD,Acadia National Park,Mammal,1,Carnivora,Mustelidae,93311,180572,Active,Lutra canadensis,"Otter, River Otter",,Present
ACAD,Acadia National Park,Mammal,1,Carnivora,Mustelidae,93298,180560,Active,Martes pennanti,"Blackcat, Fisher, Pekan",,Present
ACAD,Acadia National Park,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,"Bonaparte Weasel, Bonaparte's Weasel, Ermine, Short-tailed Weasel",,Present
ACAD,Acadia National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,"Long-tailed Weasel, New York Weasel, Northern Long-tailed Weasel",,Present
ACAD,Acadia National Park,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,"American Mink, Mink",,Present
ACAD,Acadia National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,"Common Raccoon, Raccoon",,Present
ACAD,Acadia National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,Black Bear,,Present
ACAD,Acadia National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,"Big Brown Bat, Common Brown Bat",,Present
