Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
BADL,Badlands National Park,Mammal,1,Artiodactyla,Antilocapridae,95067,180717,Active,Antilocapra americana,"pronghorn, Pronghorn",Antilocapra americana americana,Present
BADL,Badlands National Park,Mammal,1,Artiodactyla,Bovidae,95055,180706,Active,Bison bison,"bison, plains bison, American bison, bison","Bison bison bison, Bos bison",Present
BADL,Badlands National Park,Mammal,1,Artiodactyla,Bovidae,95061,180711,Active,Ovis canadensis,Bighorn Sheep,,Present
BADL,Badlands National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,Mule Deer,,Present
BADL,Badlands National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,white-tailed deer,Odocoileus virginianus virginianus,Present
BADL,Badlands National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,"Coyote, Coyote Scat",,Present
BADL,Badlands National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",,Present
BADL,Badlands National Park,Mammal,1,Carnivora,Canidae,93350,180607,Active,Vulpes velox,swift fox,Vulpes velox velox,Present
BADL,Badlands National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red Fox,,Present
BADL,Badlands National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,bobcat,Lynx rufus rufus,Present
BADL,Badlands National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,Mountain Lion,Puma concolor hippolestes,Present
BADL,Badlands National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,,Present
BADL,Badlands National Park,Mammal,1,Carnivora,Mephitidae,93309,180570,Active,Spilogale putorius,Spotted Skunk,,Probably Present
BADL,Badlands National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,Mustela frenata nevadensis,Present
BADL,Badlands National Park,Mammal,1,Carnivora,Mustelidae,93294,180557,Active,Mustela nigripes,"Ferret, Black-footed",,Present
BADL,Badlands National Park,Mammal,1,Carnivora,Mustelidae,93291,180554,Active,Mustela nivalis,"Weasel, Least",,Present
BADL,Badlands National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,Badger,,Present
BADL,Badlands National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,Raccoon,,Present
BADL,Badlands National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,"Pacific Townsend's big-eared bat, Townsend's big-eared bat, pale Townsend's big-eared bat, Townsend's big-eared bat, pale Townsend's big-eared bat","Plecotus townsendii townsendii, Plecotus townsendii pallescens, Plecotus townsendii, Corynorhinus townsendii pallescens",Present
BADL,Badlands National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,western big brown bat,Eptesicus fuscus pallidus,Present
BADL,Badlands National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,"Bat, Silver-haired",,Present
BADL,Badlands National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,"Hoary Bat, Northern Hoary Bat",,Present
BADL,Badlands National Park,Mammal,1,Chiroptera,Vespertilionidae,88713,179994,Active,Myotis ciliolabrum,"Bat, Small-footed, Western Small-footed","Myotis leibii, Myotis leibii ciliolabrum, Myotis ciliolabrum ciliolabrum",Present
