Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
BISC,Biscayne National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,white-tailed deer,,Present
BISC,Biscayne National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,gray fox,,Present
BISC,Biscayne National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,bobcat,,Present
BISC,Biscayne National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,STRIPED SKUNK,,Present
BISC,Biscayne National Park,Mammal,1,Carnivora,Mustelidae,93311,180572,Active,Lutra canadensis,NORTHERN RIVER OTTER,,Present
BISC,Biscayne National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,common raccoon,,Present
BISC,Biscayne National Park,Mammal,1,Cetacea,Balaenidae,92615,180538,Active,Balaena glacialis,"black right whale, black whale, right whale",,Present
BISC,Biscayne National Park,Mammal,1,Cetacea,Balaenopteridae,92602,180526,Active,Balaenoptera borealis,Sie whale,,Present
BISC,Biscayne National Park,Mammal,1,Cetacea,Balaenopteridae,92603,180527,Active,Balaenoptera physalus,Fin whale,,Present
BISC,Biscayne National Park,Mammal,1,Cetacea,Balaenopteridae,92607,180530,Active,Megaptera novaeangliae,HUMPBACK WHALE,,Present
BISC,Biscayne National Park,Mammal,1,Cetacea,Delphinidae,92491,180426,Active,Tursiops truncatus,BOTTLE-NOSED DOLPHIN,,Present
BISC,Biscayne National Park,Mammal,1,Cetacea,Physeteridae,92559,180488,Active,Physeter macrocephalus,Sperm whale,,Probably Present
BISC,Biscayne National Park,Mammal,1,Chiroptera,Molossidae,89600,180079,Active,Eumops glaucinus,WAGNER'S MASTIFF BAT,,Present
BISC,Biscayne National Park,Mammal,1,Chiroptera,Molossidae,89610,180088,Active,Tadarida brasiliensis,BRAZILIAN FREE-TAILED BAT,,Present
BISC,Biscayne National Park,Mammal,1,Chiroptera,Vespertilionidae,88744,180020,Active,Lasiurus seminolus,SEMINOLE BAT,,Present
BISC,Biscayne National Park,Mammal,1,Lagomorpha,Leporidae,89647,180120,Active,Sylvilagus palustris,marsh rabbit,,Present
BISC,Biscayne National Park,Mammal,1,Rodentia,Cricetidae,107226,202382,Active,Neotoma floridana smalli,Key Largo woodrat,,Present
BISC,Biscayne National Park,Mammal,1,Rodentia,Cricetidae,90746,180279,Active,Peromyscus gossypinus,cotton mouse,,Present
BISC,Biscayne National Park,Mammal,1,Rodentia,Cricetidae,91743,180349,Active,Sigmodon hispidus,hispid cotton rat,,Present
BISC,Biscayne National Park,Mammal,1,Rodentia,Muridae,91762,180366,Active,Mus musculus,house mouse,,Present
BISC,Biscayne National Park,Mammal,1,Rodentia,Muridae,91758,180362,Active,Rattus rattus,black rat,,Present
BISC,Biscayne National Park,Mammal,1,Rodentia,Sciuridae,260611,552498,Active,Sciurus aureogaster,Mexican red-bellied squirrel,,Present
BISC,Biscayne National Park,Mammal,1,Rodentia,Sciuridae,89707,180175,Active,Sciurus carolinensis,eastern gray squirrel,,Present
BISC,Biscayne National Park,Mammal,1,Sirenia,Trichechidae,95030,180684,Active,Trichechus manatus,manatee,,Present
BISC,Biscayne National Park,Mammal,1,Soricomorpha,Soricidae,88688,179971,Active,Cryptotis parva,LEAST SHREW,,Present
BISC,Biscayne National Park,Bird,2,Accipitriformes,Accipitridae,79517,175309,Active,Accipiter cooperii,Cooper's Hawk,,Present
BISC,Biscayne National Park,Bird,2,Accipitriformes,Accipitridae,79512,175304,Active,Accipiter striatus,Sharp-shinned Hawk,,Present
BISC,Biscayne National Park,Bird,2,Accipitriformes,Accipitridae,80390,175372,Active,Buteo brachyurus,Short-tailed Hawk,,Present
BISC,Biscayne National Park,Bird,2,Accipitriformes,Accipitridae,79563,175350,Active,Buteo jamaicensis,Red-tailed Hawk,,Present
BISC,Biscayne National Park,Bird,2,Accipitriformes,Accipitridae,79572,175359,Active,Buteo lineatus,Red-shouldered Hawk,,Present
BISC,Biscayne National Park,Bird,2,Accipitriformes,Accipitridae,79579,175365,Active,Buteo platypterus,Broad-winged Hawk,,Present
BISC,Biscayne National Park,Bird,2,Accipitriformes,Accipitridae,79581,175367,Active,Buteo swainsoni,Swainson's Hawk,,Present
BISC,Biscayne National Park,Bird,2,Accipitriformes,Accipitridae,80455,175430,Active,Circus cyaneus,Northern Harrier,,Present
BISC,Biscayne National Park,Bird,2,Accipitriformes,Accipitridae,79494,175289,Active,Elanoides forficatus,Swallow-tailed Kite,,Present
BISC,Biscayne National Park,Bird,2,Accipitriformes,Accipitridae,80444,175420,Active,Haliaeetus leucocephalus,Bald Eagle,,Present
BISC,Biscayne National Park,Bird,2,Accipitriformes,Cathartidae,79468,175265,Active,Cathartes aura,Turkey Vulture,,Present
BISC,Biscayne National Park,Bird,2,Accipitriformes,Cathartidae,79476,175272,Active,Coragyps atratus,Black Vulture,,Present
BISC,Biscayne National Park,Bird,2,Accipitriformes,Pandionidae,81838,175590,Active,Pandion haliaetus,Osprey,,Present
BISC,Biscayne National Park,Bird,2,Anseriformes,Anatidae,77836,175122,Active,Aix sponsa,Wood Duck,,Present
BISC,Biscayne National Park,Bird,2,Anseriformes,Anatidae,77782,175074,Active,Anas acuta,Northern Pintail,,Present
BISC,Biscayne National Park,Bird,2,Anseriformes,Anatidae,77804,175094,Active,Anas americana,American Wigeon,,Present
BISC,Biscayne National Park,Bird,2,Anseriformes,Anatidae,77795,175086,Active,Anas discors,Blue-winged Teal,,Present
BISC,Biscayne National Park,Bird,2,Anseriformes,Anatidae,77778,175070,Active,Anas fulvigula,Mottled Duck,,Present
BISC,Biscayne National Park,Bird,2,Anseriformes,Anatidae,78519,175134,Active,Aythya affinis,Lesser Scaup,,Present
BISC,Biscayne National Park,Bird,2,Anseriformes,Anatidae,78531,175145,Active,Bucephala albeola,Bufflehead,,Present
BISC,Biscayne National Park,Bird,2,Anseriformes,Anatidae,78527,175141,Active,Bucephala clangula,Common Goldeneye,,Present
BISC,Biscayne National Park,Bird,2,Anseriformes,Anatidae,77751,175046,Active,Dendrocygna bicolor,Fulvous Whistling-Duck,,Present
BISC,Biscayne National Park,Bird,2,Anseriformes,Anatidae,78560,175171,Active,Melanitta nigra,Black Scoter,,Present
BISC,Biscayne National Park,Bird,2,Anseriformes,Anatidae,78577,175187,Active,Mergus serrator,Red breasted Merganser,,Present
BISC,Biscayne National Park,Bird,2,Anseriformes,Anatidae,78542,175155,Active,Somateria mollissima,Common Eider,,Present
BISC,Biscayne National Park,Bird,2,Apodiformes,Apodidae,83046,178001,Active,Chaetura pelagica,Chimney Swift,,Present
BISC,Biscayne National Park,Bird,2,Apodiformes,Trochilidae,83884,178032,Active,Archilochus colubris,Ruby-throated Hummingbird,,Present
BISC,Biscayne National Park,Bird,2,Apodiformes,Trochilidae,83893,178040,Active,Selasphorus rufus,Rufous Hummingbird,,Present
BISC,Biscayne National Park,Bird,2,Caprimulgiformes,Caprimulgidae,82999,177960,Active,Caprimulgus carolinensis,Chuck-will's-widow,,Present
BISC,Biscayne National Park,Bird,2,Caprimulgiformes,Caprimulgidae,83000,177961,Active,Caprimulgus vociferus,Whip-poor-will,,Present
BISC,Biscayne National Park,Bird,2,Caprimulgiformes,Caprimulgidae,83034,177992,Active,Chordeiles gundlachii,Antillean Nighthawk,,Present
BISC,Biscayne National Park,Bird,2,Caprimulgiformes,Caprimulgidae,83019,177979,Active,Chordeiles minor,Common Nighthawk,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Charadriidae,77631,176507,Active,Charadrius melodus,Piping Plover,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Charadriidae,77630,176506,Active,Charadrius semipalmatus,Semipalmated Plover,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Charadriidae,77646,176520,Active,Charadrius vociferus,Killdeer,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Charadriidae,77642,176517,Active,Charadrius wilsonia,Wilson's Plover,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Charadriidae,77697,176567,Active,Pluvialis squatarola,Black-bellied Plover,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Haematopodidae,77592,176472,Active,Haematopus palliatus,American Oystercatcher,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Laridae,81064,176824,Active,Larus argentatus,Herring Gull,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Laridae,81078,176837,Active,Larus atricilla,Laughing Gull,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Laridae,81071,176830,Active,Larus delawarensis,Ring-billed Gull,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Laridae,81061,176821,Active,Larus fuscus,Lesser Black-backed Gull,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Laridae,80384,176815,Active,Larus marinus,Great Black-backed Gull,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Laridae,81080,176839,Active,Larus philadelphia,Bonaparte's Gull,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Laridae,81079,176838,Active,Larus pipixcan,Franklin's Gull,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Laridae,266845,554447,Active,Rynchops niger,Black Skimmer,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Laridae,81144,176897,Active,Sterna anaethetus,Bridled Tern,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Laridae,81174,176923,Active,Sterna antillarum,Least Tern,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Laridae,81175,176924,Active,Sterna caspia,Caspian Tern,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Laridae,81138,176891,Active,Sterna dougallii,Roseate Tern,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Laridae,81133,176887,Active,Sterna forsteri,Forster's Tern,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Laridae,81141,176894,Active,Sterna fuscata,Sooty Tern,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Laridae,81134,176888,Active,Sterna hirundo,Common Tern,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Laridae,81173,176922,Active,Sterna maxima,Royal Tern,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Laridae,81177,176926,Active,Sterna nilotica,Gull-billed Tern,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Laridae,81178,176927,Active,Sterna sandvicensis,Sandwich Tern,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Recurvirostridae,80285,176726,Active,Himantopus mexicanus,Black-necked Stilt,,Present
BISC,Biscayne National Park,Bird,2,Charadriiformes,Recurvirostridae,80280,176721,Active,Recurvirostra americana,American Avocet,,Present
