Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Artiodactyla,Bovidae,95061,180711,Active,Ovis canadensis,Bighorn Sheep,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Artiodactyla,Cervidae,155879,-501601,Inactive,Cervus canadensis,Elk,Cervus elaphus,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,Mule Deer,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,Common Gray Fox,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red Fox,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,Mountain Lion,Felis concolor,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Carnivora,Mephitidae,264255,552466,Active,Spilogale gracilis,Western Spotted Skunk,,Probably Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,Northern River Otter,Lutra canadensis,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,American Mink,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,American Badger,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,Northern Raccoon,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,American Black Bear,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Chiroptera,Molossidae,89608,180086,Active,Nyctinomops macrotis,Big Free-tailed Bat,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Chiroptera,Molossidae,89610,180088,Active,Tadarida brasiliensis,Brazilian Free-tailed Bat,,Probably Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Chiroptera,Vespertilionidae,88728,180006,Active,Antrozous pallidus,Pallid Bat,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,Townsend's Big-eared Bat,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,Big Brown Bat,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Chiroptera,Vespertilionidae,88733,180010,Active,Euderma maculatum,Spotted Bat,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,Silver-haired Bat,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,Hoary Bat,Lasiurus cinereus cinereus,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,California Myotis,,Probably Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Chiroptera,Vespertilionidae,88713,179994,Active,Myotis ciliolabrum,Western Small-footed Myotis,Myotis leibii melanorhinus,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Chiroptera,Vespertilionidae,88714,179995,Active,Myotis evotis,Long-eared Myotis,Myotis evotis evotis,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,Little Brown Myotis,Myotis lucifugus carissima,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Chiroptera,Vespertilionidae,88724,180002,Active,Myotis thysanodes,Fringed Myotis,Myotis thysanodes thysanodes,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,Long-legged Myotis,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Chiroptera,Vespertilionidae,88726,180004,Active,Myotis yumanensis,Yuma Myotis,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Chiroptera,Vespertilionidae,88748,180024,Active,Pipistrellus hesperus,Western Pipistrelle,Pipistrellus hesperus hesperus,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Lagomorpha,Leporidae,89638,180112,Active,Lepus americanus,Snowshoe Hare,,Probably Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Lagomorpha,Leporidae,89644,180118,Active,Lepus townsendii,White-tailed Jackrabbit,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Lagomorpha,Leporidae,89653,180126,Active,Sylvilagus nuttallii,Mountain Cottontail,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,American Beaver,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Rodentia,Cricetidae,90768,180299,Active,Microtus longicaudus,Long-tailed Vole,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Rodentia,Cricetidae,91701,180310,Active,Microtus montanus,Montane vole,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Rodentia,Cricetidae,91768,180371,Active,Neotoma cinerea,Bushy-tailed Woodrat,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Rodentia,Cricetidae,90750,180282,Active,Peromyscus boylii,Brush Mouse,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Rodentia,Cricetidae,90752,180284,Active,Peromyscus crinitus,Canyon Mouse,Peromyscus crinitus auripectus,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,Deer Mouse,Peromyscus maniculatus rufinus,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Rodentia,Cricetidae,90760,180291,Active,Peromyscus truei,Pinon Mouse,Peromyscus truei truei,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Rodentia,Cricetidae,91737,180343,Active,Reithrodontomys megalotis,Western Harvest Mouse,,Probably Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Rodentia,Dipodidae,91785,180387,Active,Zapus princeps,Western Jumping Mouse,,Probably Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Rodentia,Erethizontidae,91792,180393,Active,Erethizon dorsatum,North American Porcupine,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Rodentia,Geomyidae,90690,180228,Active,Thomomys talpoides,Northern Pocket Gopher,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Rodentia,Sciuridae,89669,180140,Active,Marmota flaviventris,Yellow-bellied Marmot,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Rodentia,Sciuridae,694924,-756527,Active,Neotamias minimus,Least Chipmunk,"Eutamias minimus operarius, Eutamias minimus, Tamias minimus",Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Rodentia,Sciuridae,694891,-756511,Active,Neotamias rufus,Hopi Chipmunk,"Tamias rufus, Eutamias rufus",Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Rodentia,Sciuridae,89684,180154,Active,Spermophilus lateralis,Golden-mantled Ground Squirrel,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Rodentia,Sciuridae,89694,180163,Active,Spermophilus variegatus,Rock Squirrel,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Rodentia,Sciuridae,89697,180166,Active,Tamiasciurus hudsonicus,Red Squirrel,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Soricomorpha,Soricidae,88122,179929,Active,Sorex cinereus,Masked Shrew,,Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Soricomorpha,Soricidae,88665,179950,Active,Sorex monticolus,Montane Shrew,,Probably Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Soricomorpha,Soricidae,88666,179951,Active,Sorex nanus,Dwarf Shrew,,Probably Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Soricomorpha,Soricidae,88127,179933,Active,Sorex palustris,American Water Shrew,,Probably Present
BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Soricomorpha,Soricidae,88669,179954,Active,Sorex preblei,Preble's Shrew,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Accipitriformes,Accipitridae,79517,175309,Active,Accipiter cooperii,Cooper's Hawk,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Accipitriformes,Accipitridae,79508,175300,Active,Accipiter gentilis,Northern Goshawk,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Accipitriformes,Accipitridae,79512,175304,Active,Accipiter striatus,Sharp-shinned Hawk,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Accipitriformes,Accipitridae,80429,175407,Active,Aquila chrysaetos,Golden Eagle,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Accipitriformes,Accipitridae,79563,175350,Active,Buteo jamaicensis,Red-tailed Hawk,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Accipitriformes,Accipitridae,80391,175373,Active,Buteo lagopus,Rough-legged Hawk,,Probably Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Accipitriformes,Accipitridae,80395,175377,Active,Buteo regalis,Ferruginous Hawk,,Probably Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Accipitriformes,Accipitridae,79581,175367,Active,Buteo swainsoni,Swainson's Hawk,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Accipitriformes,Accipitridae,80455,175430,Active,Circus cyaneus,Northern Harrier,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Accipitriformes,Accipitridae,80444,175420,Active,Haliaeetus leucocephalus,Bald Eagle,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Accipitriformes,Cathartidae,79468,175265,Active,Cathartes aura,Turkey Vulture,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Accipitriformes,Pandionidae,81838,175590,Active,Pandion haliaetus,Osprey,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Anseriformes,Anatidae,77782,175074,Active,Anas acuta,Northern Pintail,,Probably Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Anseriformes,Anatidae,77804,175094,Active,Anas americana,American Wigeon,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Anseriformes,Anatidae,77806,175096,Active,Anas clypeata,Northern Shoveler,,Probably Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Anseriformes,Anatidae,77790,175081,Active,Anas crecca,Green-winged Teal,,Probably Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Anseriformes,Anatidae,77798,175089,Active,Anas cyanoptera,Cinnamon Teal,,Probably Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Anseriformes,Anatidae,77795,175086,Active,Anas discors,Blue-winged Teal,,Probably Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Anseriformes,Anatidae,77770,175063,Active,Anas platyrhynchos,Mallard,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Anseriformes,Anatidae,77781,175073,Active,Anas strepera,Gadwall,,Probably Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Anseriformes,Anatidae,78519,175134,Active,Aythya affinis,Lesser Scaup,,Probably Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Anseriformes,Anatidae,77839,175125,Active,Aythya americana,Redhead,,Probably Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Anseriformes,Anatidae,76625,174999,Active,Branta canadensis,Canada Goose,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Anseriformes,Anatidae,78527,175141,Active,Bucephala clangula,Common Goldeneye,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Anseriformes,Anatidae,78530,175144,Active,Bucephala islandica,Barrow's Goldeneye,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Anseriformes,Anatidae,78573,175183,Active,Lophodytes cucullatus,Hooded Merganser,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Anseriformes,Anatidae,78575,175185,Active,Mergus merganser,Common Merganser,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Anseriformes,Anatidae,78564,175175,Active,Oxyura jamaicensis,Ruddy Duck,,Probably Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Apodiformes,Apodidae,83060,178014,Active,Aeronautes saxatalis,White-throated Swift,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Apodiformes,Trochilidae,83885,178033,Active,Archilochus alexandri,Black-chinned Hummingbird,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Apodiformes,Trochilidae,83890,178038,Active,Selasphorus platycercus,Broad-tailed Hummingbird,,Present
BLCA,Black Canyon of the Gunnison National Park,Bird,2,Apodiformes,Trochilidae,83893,178040,Active,Selasphorus rufus,Rufous Hummingbird,,Present
