Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
CONG,Congaree National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,WHITE-TAILED DEER,,Present
CONG,Congaree National Park,Mammal,1,Artiodactyla,Suidae,95073,180722,Active,Sus scrofa,FERAL HOG,,Present
CONG,Congaree National Park,Mammal,1,Carnivora,Canidae,86124,183815,Active,Canis familiaris,"domestic dog, domestic dog (feral)",,Present
CONG,Congaree National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Present
CONG,Congaree National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,COMMON GRAY FOX,,Present
CONG,Congaree National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red Fox,,Probably Present
CONG,Congaree National Park,Mammal,1,Carnivora,Felidae,86104,183798,Active,Felis catus,Domestic Cat,,Present
CONG,Congaree National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,BOBCAT,,Present
CONG,Congaree National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,,Present
CONG,Congaree National Park,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,River Otter,Lutra canadensis,Present
CONG,Congaree National Park,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,MINK,,Present
CONG,Congaree National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,COMMON RACCOON,,Present
CONG,Congaree National Park,Mammal,1,Chiroptera,Vespertilionidae,267661,555664,Active,Corynorhinus rafinesquii,"Eastern Big-eared Bat, Eastern Long-eared Bat, Eastern Lump-nosed Bat, Rafinesque's Big-eared Bat, Southeastern Big-eared Bat",,Present
CONG,Congaree National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,BIG BROWN BAT,,Present
CONG,Congaree National Park,Mammal,1,Chiroptera,Vespertilionidae,88739,180016,Active,Lasiurus borealis,EASTERN RED BAT,,Present
CONG,Congaree National Park,Mammal,1,Chiroptera,Vespertilionidae,88712,179993,Active,Myotis austroriparius,SOUTHEASTERN MYOTIS,,Present
CONG,Congaree National Park,Mammal,1,Chiroptera,Vespertilionidae,88746,180022,Active,Nycticeius humeralis,"Evening Bat, North American Evening Bat",,Present
CONG,Congaree National Park,Mammal,1,Chiroptera,Vespertilionidae,88749,180025,Active,Pipistrellus subflavus,Eastern Pipistrelle,,Present
CONG,Congaree National Park,Mammal,1,Didelphimorphia,Didelphidae,88114,179921,Active,Didelphis virginiana,Virginia Opossum,,Present
CONG,Congaree National Park,Mammal,1,Lagomorpha,Leporidae,89651,180124,Active,Sylvilagus floridanus,"Eastern Cottontail, Florida cottontail",,Present
CONG,Congaree National Park,Mammal,1,Lagomorpha,Leporidae,89647,180120,Active,Sylvilagus palustris,Marsh Rabbit,,Probably Present
CONG,Congaree National Park,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,American Beaver,,Present
CONG,Congaree National Park,Mammal,1,Rodentia,Cricetidae,91769,180372,Active,Neotoma floridana,EASTERN WOODRAT,,Present
CONG,Congaree National Park,Mammal,1,Rodentia,Cricetidae,91729,180336,Active,Oryzomys palustris,MARSH RICE RAT,,Present
CONG,Congaree National Park,Mammal,1,Rodentia,Cricetidae,90746,180279,Active,Peromyscus gossypinus,COTTON MOUSE,,Present
CONG,Congaree National Park,Mammal,1,Rodentia,Cricetidae,90745,180278,Active,Peromyscus leucopus,"White-footed Deermouse, White-footed Mouse",,Present
CONG,Congaree National Park,Mammal,1,Rodentia,Cricetidae,91736,180342,Active,Reithrodontomys humulis,Eastern Harvest Mouse,,Present
CONG,Congaree National Park,Mammal,1,Rodentia,Cricetidae,91743,180349,Active,Sigmodon hispidus,Hispid Cotton Rat,,Present
CONG,Congaree National Park,Mammal,1,Rodentia,Sciuridae,89702,180170,Active,Glaucomys volans,SOUTHERN FLYING SQUIRREL,,Present
CONG,Congaree National Park,Mammal,1,Rodentia,Sciuridae,89707,180175,Active,Sciurus carolinensis,EASTERN GRAY SQUIRREL,,Present
CONG,Congaree National Park,Mammal,1,Rodentia,Sciuridae,89704,180172,Active,Sciurus niger,EASTERN FOX SQUIRREL,,Present
CONG,Congaree National Park,Mammal,1,Soricomorpha,Soricidae,88683,179967,Active,Blarina brevicauda,NORTHERN SHORT-TAILED SHREW,,Present
CONG,Congaree National Park,Mammal,1,Soricomorpha,Soricidae,88684,179968,Active,Blarina carolinensis,Southern Short-tailed Shrew,,Present
CONG,Congaree National Park,Mammal,1,Soricomorpha,Soricidae,88688,179971,Active,Cryptotis parva,"bee shrew, Least Shrew, little short-tailed shrew, North American Least Shrew, small short-tailed shrew",,Present
CONG,Congaree National Park,Mammal,1,Soricomorpha,Soricidae,88130,179936,Active,Sorex longirostris,SOUTHEASTERN SHREW,,Present
CONG,Congaree National Park,Mammal,1,Soricomorpha,Talpidae,88680,179964,Active,Condylura cristata,STAR-NOSED MOLE,,Present
