Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
CRLA,Crater Lake National Park,Mammal,1,Artiodactyla,Cervidae,95042,180695,Active,Cervus elaphus,Elk,"Cervus canadensis, Cervus canadensis occidentalis, Cervus canadensis canadensis, Cervus canadensis roosevelti, Cervus elaphus roosevelti",Present
CRLA,Crater Lake National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,"Mule Deer, Mule Deer or Black-tailed Deer","Odocoileus hemionus hemionus, Odocoileus columbianus columbianus, Odocoileus hemionus columbianus, Odocoileus columbianus",Present
CRLA,Crater Lake National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,Columbian white-tailed deer,"Odocoileus leucurus, Odocoileus virginianus leucurus",Present
CRLA,Crater Lake National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Present
CRLA,Crater Lake National Park,Mammal,1,Carnivora,Canidae,93337,180596,Active,Canis lupus,Gray Wolf,,Present
CRLA,Crater Lake National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",,Present
CRLA,Crater Lake National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Sierra Nevada red fox,"Vulpes vulpes cascadensis, Vulpes fulva, Vulpes cascadensis",Present
CRLA,Crater Lake National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,"Lynx fasciatus, Lynx rufus pallescens",Present
CRLA,Crater Lake National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,mountain lion,"Felis concolor, Felis oregonensis",Present
CRLA,Crater Lake National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,Mephitis occidentalis major,Present
CRLA,Crater Lake National Park,Mammal,1,Carnivora,Mephitidae,264255,552466,Active,Spilogale gracilis,Western Spotted Skunk,"Spilogale putorius, Spilogade phenax latifrons",Present
CRLA,Crater Lake National Park,Mammal,1,Carnivora,Mustelidae,93296,180559,Active,Martes americana,"American Marten, Marten, Martin, Pacific Marten, Pine Marten","Mustela caurina caurina, Martes caurina, Martes americana caurina, Martes caurina caurina",Present
CRLA,Crater Lake National Park,Mammal,1,Carnivora,Mustelidae,93298,180560,Active,Martes pennanti,Fisher,Martes pennanti pacifica,Present
CRLA,Crater Lake National Park,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,Ermine,Mustela erminea muricus,Present
