Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
CUVA,Cuyahoga Valley National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,white-tailed deer,,Present
CUVA,Cuyahoga Valley National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,coyote,,Present
CUVA,Cuyahoga Valley National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,gray fox,,Present
CUVA,Cuyahoga Valley National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,red fox,,Present
CUVA,Cuyahoga Valley National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,bobcat,,Present
CUVA,Cuyahoga Valley National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,striped skunk,,Present
CUVA,Cuyahoga Valley National Park,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,"river otter, North American river otter",Lutra canadensis,Present
CUVA,Cuyahoga Valley National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,long-tailed weasel,,Present
CUVA,Cuyahoga Valley National Park,Mammal,1,Carnivora,Mustelidae,93291,180554,Active,Mustela nivalis,least weasel,,Present
CUVA,Cuyahoga Valley National Park,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,mink,,Present
CUVA,Cuyahoga Valley National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,raccoon,,Present
CUVA,Cuyahoga Valley National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,big brown bat,,Present
CUVA,Cuyahoga Valley National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,silver-haired bat,,Present
CUVA,Cuyahoga Valley National Park,Mammal,1,Chiroptera,Vespertilionidae,88739,180016,Active,Lasiurus borealis,red bat,,Present
