Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
DEVA,Death Valley National Park,Mammal,1,Artiodactyla,Bovidae,95061,180711,Active,Ovis canadensis,Nelson's bighorn sheep,"Ovis canadensis nelsoni, Ovis nelsoni",Present
DEVA,Death Valley National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,"mule deer, Mule Deer",Odocoileus hemionus inyoensis,Present
DEVA,Death Valley National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,coyote,"Canis latrans lestes, Canis latrans estor, Canis latrans mearnsi",Present
DEVA,Death Valley National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",,Present
DEVA,Death Valley National Park,Mammal,1,Carnivora,Canidae,93349,180606,Active,Vulpes macrotis,Kit Fox,,Present
DEVA,Death Valley National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,Felis rufus,Present
DEVA,Death Valley National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,mountain lion,Felis concolor,Present
DEVA,Death Valley National Park,Mammal,1,Carnivora,Mephitidae,93309,180570,Active,Spilogale putorius,"Alleghanian Spotted Skunk, Eastern Spotted Skunk, spotted skunk",,Present
DEVA,Death Valley National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,"American Badger, Badger",,Present
DEVA,Death Valley National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus nevadensis,Present
DEVA,Death Valley National Park,Mammal,1,Chiroptera,Molossidae,89608,180086,Active,Nyctinomops macrotis,Big Free-tailed Bat,,Probably Present
DEVA,Death Valley National Park,Mammal,1,Chiroptera,Molossidae,89610,180088,Active,Tadarida brasiliensis,Mexican Free-tailed Bat,Tadarida mexicana,Present
DEVA,Death Valley National Park,Mammal,1,Chiroptera,Vespertilionidae,88728,180006,Active,Antrozous pallidus,Pallid Bat,Antrosous pallidus pallidus,Present
DEVA,Death Valley National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,Townsend's big-eared bat,"Plecotus townsendii, Plecotus townsendii pallescens",Present
DEVA,Death Valley National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,Big Brown Bat,,Probably Present
DEVA,Death Valley National Park,Mammal,1,Chiroptera,Vespertilionidae,88733,180010,Active,Euderma maculatum,Spotted Bat,,Probably Present
DEVA,Death Valley National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,Silver-haired Bat,,Present
DEVA,Death Valley National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,Hoary Bat,Nycteris cinerea,Present
DEVA,Death Valley National Park,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,Californian Myotis,Myotis californicus pallidus,Present
DEVA,Death Valley National Park,Mammal,1,Chiroptera,Vespertilionidae,88713,179994,Active,Myotis ciliolabrum,Western Small-footed Myotis,"Myotis leibii melanorhinus, Myotis leibii, Myotis subulatus melanorhinus",Present
DEVA,Death Valley National Park,Mammal,1,Chiroptera,Vespertilionidae,88724,180002,Active,Myotis thysanodes,Fringed Myotis,Myotis thysanodes thysanodes,Present
DEVA,Death Valley National Park,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,Long-legged Myotis,,Probably Present
DEVA,Death Valley National Park,Mammal,1,Chiroptera,Vespertilionidae,88748,180024,Active,Pipistrellus hesperus,"Western Pipistrelle, Canyon Bat",Pipistrellus hesperus hesperus,Present
DEVA,Death Valley National Park,Mammal,1,Lagomorpha,Leporidae,89641,180115,Active,Lepus californicus,black-tailed jackrabbit,,Present
DEVA,Death Valley National Park,Mammal,1,Lagomorpha,Leporidae,89649,180122,Active,Sylvilagus audubonii,desert cottontail,,Present
DEVA,Death Valley National Park,Mammal,1,Lagomorpha,Leporidae,89653,180126,Active,Sylvilagus nuttallii,"Mountain Cottontail, Nuttall's cottontail",Sylvilagus nuttalli,Present
DEVA,Death Valley National Park,Mammal,1,Perissodactyla,Equidae,95037,180690,Active,Equus asinus,"Ass, burro, Donkey, feral burro, Wild Ass",,Present
DEVA,Death Valley National Park,Mammal,1,Perissodactyla,Equidae,95038,180691,Active,Equus caballus,"feral horse, Horse",,Present
DEVA,Death Valley National Park,Mammal,1,Rodentia,Cricetidae,91768,180371,Active,Neotoma cinerea,Bushy-tailed Woodrat,,Probably Present
DEVA,Death Valley National Park,Mammal,1,Rodentia,Cricetidae,91770,180373,Active,Neotoma fuscipes,Dusky-footed Woodrat,,Present
DEVA,Death Valley National Park,Mammal,1,Rodentia,Cricetidae,91771,180374,Active,Neotoma lepida,desert woodrat,,Present
DEVA,Death Valley National Park,Mammal,1,Rodentia,Cricetidae,91781,180383,Active,Onychomys torridus,Southern Grasshopper Mouse,,Present
DEVA,Death Valley National Park,Mammal,1,Rodentia,Cricetidae,90750,180282,Active,Peromyscus boylii,"Brush Deermouse, Brush Mouse",,Present
DEVA,Death Valley National Park,Mammal,1,Rodentia,Cricetidae,90752,180284,Active,Peromyscus crinitus,"Canyon Deermouse, Canyon Mouse",,Present
DEVA,Death Valley National Park,Mammal,1,Rodentia,Cricetidae,90754,180286,Active,Peromyscus eremicus,"Cactus Deermouse, Cactus Mouse",,Present
DEVA,Death Valley National Park,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,deer mouse,,Present
DEVA,Death Valley National Park,Mammal,1,Rodentia,Cricetidae,90760,180291,Active,Peromyscus truei,"Piñon Deermouse, piñon mouse, Pinyon Mouse",,Present
DEVA,Death Valley National Park,Mammal,1,Rodentia,Cricetidae,91737,180343,Active,Reithrodontomys megalotis,Western Harvest Mouse,,Present
DEVA,Death Valley National Park,Mammal,1,Rodentia,Geomyidae,90684,180222,Active,Thomomys bottae,Botta's Pocket Gopher,,Present
DEVA,Death Valley National Park,Mammal,1,Rodentia,Heteromyidae,260578,552482,Active,Chaetodipus formosus,long-tailed pocket mouse,Perognathus formosus,Present
DEVA,Death Valley National Park,Mammal,1,Rodentia,Heteromyidae,260586,552486,Active,Chaetodipus penicillatus,desert pocket mouse,Perognathus penicillatus,Present
DEVA,Death Valley National Park,Mammal,1,Rodentia,Heteromyidae,90699,180236,Active,Dipodomys deserti,Desert Kangaroo Rat,,Present
DEVA,Death Valley National Park,Mammal,1,Rodentia,Heteromyidae,90705,180241,Active,Dipodomys merriami,Merriam's Kangaroo Rat,,Present
DEVA,Death Valley National Park,Mammal,1,Rodentia,Heteromyidae,90706,180242,Active,Dipodomys microps,Chisel-toothed Kangaroo Rat,,Present
DEVA,Death Valley National Park,Mammal,1,Rodentia,Heteromyidae,90709,180245,Active,Dipodomys panamintinus,Panamint Kangaroo Rat,,Present
DEVA,Death Valley National Park,Mammal,1,Rodentia,Heteromyidae,90733,180267,Active,Perognathus longimembris,Little Pocket Mouse,"Perognathus panamintinus, Perognathus longimembris panamintinus",Present
