Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
EVER,Everglades National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,"white-tailed deer, White-tailed Deer",,Present
EVER,Everglades National Park,Mammal,1,Artiodactyla,Suidae,95073,180722,Active,Sus scrofa,"pig, pig (feral), wild boar, Wild Boar",,Present
EVER,Everglades National Park,Mammal,1,Carnivora,Canidae,86124,183815,Active,Canis familiaris,"domestic dog, domestic dog (feral)",,Present
EVER,Everglades National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Present
EVER,Everglades National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",,Present
EVER,Everglades National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red Fox,,Probably Present
EVER,Everglades National Park,Mammal,1,Carnivora,Felidae,86104,183798,Active,Felis catus,Domestic Cat,,Present
EVER,Everglades National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,,Present
EVER,Everglades National Park,Mammal,1,Carnivora,Felidae,264673,552781,Active,Puma concolor coryi,Florida panther,Felis concolor coryi,Present
EVER,Everglades National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,,Present
EVER,Everglades National Park,Mammal,1,Carnivora,Mephitidae,93309,180570,Active,Spilogale putorius,"Alleghanian Spotted Skunk, Eastern Spotted Skunk, spotted skunk",,Probably Present
EVER,Everglades National Park,Mammal,1,Carnivora,Mustelidae,93311,180572,Active,Lutra canadensis,River Otter,,Present
EVER,Everglades National Park,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,American Mink,,Present
EVER,Everglades National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,"common raccoon, Northern Raccoon, Raccoon",,Present
EVER,Everglades National Park,Mammal,1,Carnivora,Ursidae,634106,726978,Active,Ursus americanus floridanus,Florida black bear,Ursus americanus,Present
EVER,Everglades National Park,Mammal,1,Cetacea,Balaenopteridae,92601,180525,Active,Balaenoptera edeni,Bryde's Whale,,Present
EVER,Everglades National Park,Mammal,1,Cetacea,Delphinidae,92535,180466,Active,Globicephala macrorhynchus,Short-finned Pilot Whale,,Present
