Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
FOBO,Fort Bowie National Historic Site,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,mule deer,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,"white-tailed deer, White-tailed Deer",,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Artiodactyla,Tayassuidae,264631,552761,Active,Pecari tajacu,collared peccary,Pecari angulatus,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,coyote,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,common gray fox,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,bobcat,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,"mountain lion, puma","Puma concolor azteca, Felis concolor",Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Carnivora,Mephitidae,93306,180568,Active,Conepatus mesoleucus,white-backed hog-nosed skunk,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Carnivora,Mephitidae,93301,180563,Active,Mephitis macroura,hooded skunk,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,striped skunk,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Carnivora,Mephitidae,93309,180570,Active,Spilogale putorius,Western Spotted Skunk,Spilogale gracilis,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,"American Badger, Badger",,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Carnivora,Procyonidae,264247,552462,Active,Nasua narica,white-nosed coati,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,"common raccoon, Northern Raccoon, Raccoon",,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,American black bear,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Chiroptera,Phyllostomidae,89582,180062,Active,Choeronycteris mexicana,Mexican long-tongued bat,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Chiroptera,Phyllostomidae,106785,202347,Active,Leptonycteris yerbabuenae,"Sanborn's Long-nosed Bat, Lesser Long-nosed Bat","Leptonycteris sanborni, Leptonycteris curasoae yerbabuenae",Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Chiroptera,Vespertilionidae,88728,180006,Active,Antrozous pallidus,pallid bat,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,big brown bat,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Chiroptera,Vespertilionidae,88711,179992,Active,Myotis auriculus,Southwestern Myotis,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,"California Myotis, Californian Myotis",,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Chiroptera,Vespertilionidae,88718,179999,Active,Myotis leibii,"Small-footed Myotis, western small-footed bat, Western Small-footed Myotis",Myotis ciliolabrum,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Myotis occultus,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Chiroptera,Vespertilionidae,88724,180002,Active,Myotis thysanodes,fringed myotis,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Chiroptera,Vespertilionidae,88725,180003,Active,Myotis velifer,cave myotis,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,Long-legged Myotis,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Chiroptera,Vespertilionidae,88748,180024,Active,Pipistrellus hesperus,western pipistrelle,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Lagomorpha,Leporidae,89640,180114,Active,Lepus alleni,antelope jack rabbit,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Lagomorpha,Leporidae,89641,180115,Active,Lepus californicus,"black-tailed jack rabbit, black-tailed jackrabbit",,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Lagomorpha,Leporidae,89649,180122,Active,Sylvilagus audubonii,"Audubon's Cottontail, Desert Cottontail",,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Cricetidae,91764,180368,Active,Baiomys taylori,Northern Pygmy Mouse,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Cricetidae,91767,180370,Active,Neotoma albigula,white-throated woodrat,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Cricetidae,91780,180382,Active,Onychomys leucogaster,northern grasshoper mouse,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Cricetidae,91781,180383,Active,Onychomys torridus,southern grasshopper mouse,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Cricetidae,90750,180282,Active,Peromyscus boylii,brush mouse,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Cricetidae,90754,180286,Active,Peromyscus eremicus,cactus mouse,Peromyscus eremicus eremicus,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Cricetidae,90745,180278,Active,Peromyscus leucopus,white-footed mouse,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,deer mouse,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Cricetidae,91735,180341,Active,Reithrodontomys fulvescens,fulvous harvest mouse,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Cricetidae,91737,180343,Active,Reithrodontomys megalotis,Western harvest mouse,Reithrodontomys megalotis megalotis,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Cricetidae,91743,180349,Active,Sigmodon hispidus,hispid cotton rat,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Erethizontidae,91792,180393,Active,Erethizon dorsatum,"common porcupine, porcupine",,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Geomyidae,90684,180222,Active,Thomomys bottae,Botta's pocket gopher,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Heteromyidae,260659,552520,Active,Chaetodipus baileyi,Bailey's pocket mouse,Perognathus baileyi,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Heteromyidae,260580,552483,Active,Chaetodipus hispidus,hispid pocket mouse,Perognathus hispidus,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Heteromyidae,260582,552484,Active,Chaetodipus intermedius,rock pocket mouse,"Perognathus intermedius, Chaetodipus intermedius intermedius",Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Heteromyidae,260586,552486,Active,Chaetodipus penicillatus,Sonoran desert pocket mouse,Perognathus penicillatus,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Heteromyidae,90705,180241,Active,Dipodomys merriami,Merriam's kangaroo rat,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Heteromyidae,90708,180244,Active,Dipodomys ordii,Ord's kangaroo rat,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Heteromyidae,90710,180246,Active,Dipodomys spectabilis,banner-tailed kangaroo rat,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Heteromyidae,90721,180256,Active,Perognathus amplus,Arizona pocket mouse,Perognathus amplus taylori,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Heteromyidae,90728,180262,Active,Perognathus flavus,silky pocket mouse,Perognathus flavus flavus,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Sciuridae,90635,180179,Active,Ammospermophilus harrisii,Harris' antelope squirrel,,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Sciuridae,89691,180160,Active,Spermophilus tereticaudus,round-tailed ground squirrel,Citellus tereticaudus,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Sciuridae,89694,180163,Active,Spermophilus variegatus,rock squirrel,Citellus variegatus,Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Rodentia,Sciuridae,90651,180193,Active,Tamias dorsalis,cliff chipmunk,"Neotamias dorsalis, Eutamias dorsalis",Present
FOBO,Fort Bowie National Historic Site,Mammal,1,Soricomorpha,Soricidae,88690,179973,Active,Notiosorex crawfordi,"Crawford's Gray Shrew, Desert Shrew, gray shrew",,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Accipitriformes,Accipitridae,79517,175309,Active,Accipiter cooperii,Cooper's Hawk,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Accipitriformes,Accipitridae,79512,175304,Active,Accipiter striatus,Sharp-shinned Hawk,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Accipitriformes,Accipitridae,80429,175407,Active,Aquila chrysaetos,Golden Eagle,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Accipitriformes,Accipitridae,79582,175368,Active,Buteo albonotatus,zone-tailed hawk,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Accipitriformes,Accipitridae,79563,175350,Active,Buteo jamaicensis,Red-tailed Hawk,Buteo jamaicensis calurus,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Accipitriformes,Accipitridae,80391,175373,Active,Buteo lagopus,"Roughleg, Rough-legged Buzzard, Rough-legged Hawk",,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Accipitriformes,Accipitridae,80395,175377,Active,Buteo regalis,Ferruginous Hawk,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Accipitriformes,Accipitridae,79581,175367,Active,Buteo swainsoni,Swainson's hawk,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Accipitriformes,Accipitridae,80424,175402,Active,Buteogallus anthracinus,Common Black-Hawk,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Accipitriformes,Accipitridae,80455,175430,Active,Circus cyaneus,Northern Harrier,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Accipitriformes,Accipitridae,80444,175420,Active,Haliaeetus leucocephalus,Bald Eagle,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Accipitriformes,Cathartidae,79468,175265,Active,Cathartes aura,Turkey Vulture,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Accipitriformes,Cathartidae,79476,175272,Active,Coragyps atratus,Black Vulture,Cathartes atratus,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Accipitriformes,Pandionidae,81838,175590,Active,Pandion haliaetus,"Osprey, Western Osprey",,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Apodiformes,Apodidae,83060,178014,Active,Aeronautes saxatalis,White-throated Swift,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Apodiformes,Apodidae,83047,178002,Active,Chaetura vauxi,Vaux's Swift,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Apodiformes,Trochilidae,83885,178033,Active,Archilochus alexandri,Black-chinned Hummingbird,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Apodiformes,Trochilidae,83882,178030,Active,Calothorax lucifer,Lucifer Hummingbird,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Apodiformes,Trochilidae,83888,178036,Active,Calypte anna,Anna's Hummingbird,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Apodiformes,Trochilidae,83887,178035,Active,Calypte costae,Costa's Hummingbird,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Apodiformes,Trochilidae,83929,178073,Active,Cynanthus latirostris,Broad-billed Hummingbird,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Apodiformes,Trochilidae,83904,178050,Active,Eugenes fulgens,Magnificent Hummingbird,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Apodiformes,Trochilidae,83890,178038,Active,Selasphorus platycercus,Broad-tailed Hummingbird,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Apodiformes,Trochilidae,83893,178040,Active,Selasphorus rufus,Rufous Hummingbird,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Apodiformes,Trochilidae,83901,178048,Active,Stellula calliope,Calliope Hummingbird,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Caprimulgiformes,Caprimulgidae,83000,177961,Active,Caprimulgus vociferus,Whip-Poor-Will,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Caprimulgiformes,Caprimulgidae,83029,177988,Active,Chordeiles acutipennis,Lesser Nighthawk,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Caprimulgiformes,Caprimulgidae,83019,177979,Active,Chordeiles minor,Common Nighthawk,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Caprimulgiformes,Caprimulgidae,271703,555544,Active,Phalaenoptilus nuttallii,Common Poorwill,,Present
FOBO,Fort Bowie National Historic Site,Bird,2,Charadriiformes,Charadriidae,77646,176520,Active,Charadrius vociferus,Killdeer,,Present
