Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
GAAR,Gates of the Arctic National Park and Preserve,Mammal,1,Artiodactyla,Bovidae,95057,180708,Active,Ovibos moschatus,Muskox,,Present
GAAR,Gates of the Arctic National Park and Preserve,Mammal,1,Artiodactyla,Bovidae,95060,180710,Active,Ovis dalli,Dall's sheep,,Present
GAAR,Gates of the Arctic National Park and Preserve,Mammal,1,Artiodactyla,Cervidae,95052,180703,Active,Alces alces,Moose,,Present
GAAR,Gates of the Arctic National Park and Preserve,Mammal,1,Artiodactyla,Cervidae,95050,180701,Active,Rangifer tarandus,Caribou,,Present
GAAR,Gates of the Arctic National Park and Preserve,Mammal,1,Carnivora,Canidae,93345,180602,Active,Alopex lagopus,Arctic fox,,Present
GAAR,Gates of the Arctic National Park and Preserve,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Present
GAAR,Gates of the Arctic National Park and Preserve,Mammal,1,Carnivora,Canidae,93337,180596,Active,Canis lupus,"Gray Wolf, Wolf",,Present
GAAR,Gates of the Arctic National Park and Preserve,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red fox,Vulpes fulvus,Present
GAAR,Gates of the Arctic National Park and Preserve,Mammal,1,Carnivora,Felidae,93325,180585,Active,Lynx canadensis,Lynx,,Present
GAAR,Gates of the Arctic National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93288,180551,Active,Gulo gulo,Wolverine,,Present
GAAR,Gates of the Arctic National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,"Land otter, River otter",,Present
GAAR,Gates of the Arctic National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93296,180559,Active,Martes americana,American marten,,Present
GAAR,Gates of the Arctic National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,"Ermine, Short-tailed weasel",,Present
GAAR,Gates of the Arctic National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93291,180554,Active,Mustela nivalis,Least weasel,,Present
GAAR,Gates of the Arctic National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,Mink,,Present
GAAR,Gates of the Arctic National Park and Preserve,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,"American black bear, Black bear",,Present
GAAR,Gates of the Arctic National Park and Preserve,Mammal,1,Carnivora,Ursidae,93279,180543,Active,Ursus arctos,"Brown bear, Grizzly bear",,Present
GAAR,Gates of the Arctic National Park and Preserve,Mammal,1,Lagomorpha,Leporidae,89638,180112,Active,Lepus americanus,"Snowshoe hare, Varying hare",,Present
