Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
GRBA,Great Basin National Park,Mammal,1,Artiodactyla,Bovidae,95061,180711,Active,Ovis canadensis,bighorn sheep,Ovis canadensis canadensis,Present
GRBA,Great Basin National Park,Mammal,1,Artiodactyla,Cervidae,95042,180695,Active,Cervus elaphus,elk,"Cervus elaphus elaphus, Cervus canadensis, Cervus elaphus nelsoni",Present
GRBA,Great Basin National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,"black-tailed deer, mule deer",Odocoileus hemionus hemionus,Present
GRBA,Great Basin National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Present
GRBA,Great Basin National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,Gray Fox,Urocyon cinereoargenteus scottii,Present
GRBA,Great Basin National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,bobcat,"Lynx rufus rufus, Felis rufus pallescens, Lynx rufus pallescens",Present
GRBA,Great Basin National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,"cougar, lion, mountain lion, puma",Felis concolor kaibabensis,Present
GRBA,Great Basin National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,striped skunk,Mephitis mephitis major,Present
GRBA,Great Basin National Park,Mammal,1,Carnivora,Mephitidae,264255,552466,Active,Spilogale gracilis,Spotted Skunk,"Spilogale putorius gracilis, Spilogale putorius",Present
GRBA,Great Basin National Park,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,"short-tailed weasel, Ermine",Mustela erminea muricus,Present
GRBA,Great Basin National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,"long-tailed weasal, long-tailed weasel",Mustela frenata nevadensis,Present
GRBA,Great Basin National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,badger,"Taxidea taxus jeffersonii, Taxidea taxus taxus",Present
GRBA,Great Basin National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,"ringtail, ringtailed cat",,Present
GRBA,Great Basin National Park,Mammal,1,Chiroptera,Molossidae,89610,180088,Active,Tadarida brasiliensis,"Mexican free-tailed bat, Brazilian free-tailed bat",Tadarida brasiliensis mexicana,Present
GRBA,Great Basin National Park,Mammal,1,Chiroptera,Vespertilionidae,88728,180006,Active,Antrozous pallidus,pallid bat,Antrosous pallidus pallidus,Present
GRBA,Great Basin National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,Townsend's big-eared bat,"Corynorhinus townsendii townsendii, Corynorhinus townsendii pallescens, Plecotus townsendii, Plecotus townsendii pallescens",Present
GRBA,Great Basin National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,big brown bat,Eptesicus fuscus pallidus,Present
GRBA,Great Basin National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,silver-haired bat,,Present
GRBA,Great Basin National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,hoary bat,,Present
GRBA,Great Basin National Park,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,Californis myotis,Myotis californicus californicus,Present
GRBA,Great Basin National Park,Mammal,1,Chiroptera,Vespertilionidae,88713,179994,Active,Myotis ciliolabrum,"small-footed myotis, western small-footed bat",Myotis ciliolabrum melanorhinus,Present
GRBA,Great Basin National Park,Mammal,1,Chiroptera,Vespertilionidae,88714,179995,Active,Myotis evotis,long-eared myotis,Myotis evotis evotis,Present
GRBA,Great Basin National Park,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,"hairy-winged myotis, long-legged myotis",Myotis volans interior,Present
GRBA,Great Basin National Park,Mammal,1,Lagomorpha,Leporidae,260661,552521,Active,Brachylagus idahoensis,pygmy rabbit,Sylvilagus idahoensis,Probably Present
GRBA,Great Basin National Park,Mammal,1,Lagomorpha,Leporidae,89641,180115,Active,Lepus californicus,"black-tailed jackrabbit, black-tailed rabbit",Lepus californicus deserticola,Present
GRBA,Great Basin National Park,Mammal,1,Lagomorpha,Leporidae,89653,180126,Active,Sylvilagus nuttallii,"Nuttall's cottontail, Mountain Cottontail",Sylvilagus nuttallii grangeri,Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,beaver,,Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Cricetidae,260595,552490,Active,Lemmiscus curtatus,sagebrush vole,"Lagurus curtatus intermedius, Lagurus curtatus levidensis, Lagurus curtatus, Lemmiscus curtatus intermedius",Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Cricetidae,90768,180299,Active,Microtus longicaudus,long-tailed vole,Microtus longicaudus latus,Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Cricetidae,91701,180310,Active,Microtus montanus,Montane vole,Microtus montanus micropus,Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Cricetidae,91768,180371,Active,Neotoma cinerea,bushy-tailed woodrat,Neotoma cinerea acraia,Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Cricetidae,91771,180374,Active,Neotoma lepida,desert wood rat,Neotoma lepida lepida,Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Cricetidae,91780,180382,Active,Onychomys leucogaster,northern grasshopper mouse,"Onychomys leucogaster brevicaudus, Onychomys leucogaster utahensis",Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Cricetidae,90752,180284,Active,Peromyscus crinitus,canyon mouse,Peromyscus crinitus pergracilis,Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,deer mouse,Peromyscus maniculatus sonoriensis,Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Cricetidae,90760,180291,Active,Peromyscus truei,pinyon mouse,Peromyscus truei nevadensis,Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Cricetidae,91737,180343,Active,Reithrodontomys megalotis,western harvest mouse,Reithrodontomys megalotis megalotis,Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Erethizontidae,91792,180393,Active,Erethizon dorsatum,porcupine,Erethizon dorsatum epixanthum,Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Geomyidae,90684,180222,Active,Thomomys bottae,Botta Pocket Gopher,,Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Heteromyidae,90706,180242,Active,Dipodomys microps,"chisel-toothed kangaroo rat, Great Basin kangaroo rat","Dipodomys microps centralis, Dipodomys microps bonnevillei",Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Heteromyidae,90708,180244,Active,Dipodomys ordii,ord kangaroo rat,"Dipodomys ordii celeripes, Dipodomys ordii columbianus",Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Heteromyidae,90735,180269,Active,Perognathus parvus,Great Basin pocket mouse,Perognathus parvus olivaceus,Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Muridae,91762,180366,Active,Mus musculus,house mouse,,Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Sciuridae,90638,180181,Active,Ammospermophilus leucurus,White-tailed Antelope Squirrel,Ammospermophilus leucurus leucurus,Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Sciuridae,920484,930305,Active,Callospermophilus lateralis,golden-mantled ground squirrel,"Spermophilus lateralis, Spermophilus lateralis trepidus",Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Sciuridae,89669,180140,Active,Marmota flaviventris,Yellow-bellied Marmot,Marmota flaviventris avara,Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Sciuridae,920685,930302,Active,Otospermophilus variegatus,rock squirrel,"Spermophilus variegatus, Spermophilus variegatus robustus",Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Sciuridae,90651,180193,Active,Tamias dorsalis,Cliff Chipmunk,"Eutamias dorsalis utahensis, Eutamias dorsalis, Tamias dorsalis utahensis",Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Sciuridae,90653,180195,Active,Tamias minimus,least chipmunk,Eutamias minimus,Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Sciuridae,90669,180209,Active,Tamias umbrinus,Unita chipmunk,"Eutamias umbrinus inyoensis, Tamias umbrinus inyoensis, Neotamias umbrinus",Present
GRBA,Great Basin National Park,Mammal,1,Rodentia,Sciuridae,919173,930320,Active,Urocitellus mollis,Piute ground squirrel,,Present
GRBA,Great Basin National Park,Mammal,1,Soricomorpha,Soricidae,88663,179949,Active,Sorex merriami,Merriam's shrew,,Present
GRBA,Great Basin National Park,Mammal,1,Soricomorpha,Soricidae,88127,179933,Active,Sorex palustris,water shrew,Sorex palustris navigator,Present
GRBA,Great Basin National Park,Mammal,1,Soricomorpha,Soricidae,88670,179955,Active,Sorex tenellus,Inyo dwarf shrew,,Present
GRBA,Great Basin National Park,Mammal,1,Soricomorpha,Soricidae,88126,179932,Active,Sorex vagrans,"Vagrant shrew, wandering shrew",Sorex vagrans vagrans,Present
GRBA,Great Basin National Park,Bird,2,,,154798,-501555,Active,Picoides villosus leucothorectis,Hairy Woodpecker,,Present
GRBA,Great Basin National Park,Bird,2,Accipitriformes,Accipitridae,79517,175309,Active,Accipiter cooperii,Cooper's Hawk,,Present
GRBA,Great Basin National Park,Bird,2,Accipitriformes,Accipitridae,79508,175300,Active,Accipiter gentilis,Northern Goshawk,,Present
GRBA,Great Basin National Park,Bird,2,Accipitriformes,Accipitridae,79512,175304,Active,Accipiter striatus,Sharp-shinned Hawk,,Present
GRBA,Great Basin National Park,Bird,2,Accipitriformes,Accipitridae,79513,175305,Active,Accipiter striatus velox,Sharp-shinned Hawk,,Present
GRBA,Great Basin National Park,Bird,2,Accipitriformes,Accipitridae,80429,175407,Active,Aquila chrysaetos,Golden Eagle,,Present
GRBA,Great Basin National Park,Bird,2,Accipitriformes,Accipitridae,79582,175368,Active,Buteo albonotatus,Zone-tailed Hawk,,Present
GRBA,Great Basin National Park,Bird,2,Accipitriformes,Accipitridae,79563,175350,Active,Buteo jamaicensis,Red-tailed Hawk,,Present
GRBA,Great Basin National Park,Bird,2,Accipitriformes,Accipitridae,79568,175355,Active,Buteo jamaicensis calurus,Harlan's Hawk,,Present
GRBA,Great Basin National Park,Bird,2,Accipitriformes,Accipitridae,80391,175373,Active,Buteo lagopus,Rough-legged Hawk,,Probably Present
GRBA,Great Basin National Park,Bird,2,Accipitriformes,Accipitridae,79572,175359,Active,Buteo lineatus,Red-shouldered Hawk,,Present
GRBA,Great Basin National Park,Bird,2,Accipitriformes,Accipitridae,80395,175377,Active,Buteo regalis,Ferruginous Hawk,,Probably Present
GRBA,Great Basin National Park,Bird,2,Accipitriformes,Accipitridae,79581,175367,Active,Buteo swainsoni,Swainson's Hawk,,Present
GRBA,Great Basin National Park,Bird,2,Accipitriformes,Accipitridae,80455,175430,Active,Circus cyaneus,Northern Harrier,,Present
GRBA,Great Basin National Park,Bird,2,Accipitriformes,Accipitridae,80444,175420,Active,Haliaeetus leucocephalus,Bald Eagle,,Present
GRBA,Great Basin National Park,Bird,2,Accipitriformes,Cathartidae,79468,175265,Active,Cathartes aura,Turkey Vulture,,Present
GRBA,Great Basin National Park,Bird,2,Anseriformes,Anatidae,77790,175081,Active,Anas crecca,Green-winged Teal,,Present
GRBA,Great Basin National Park,Bird,2,Anseriformes,Anatidae,77798,175089,Active,Anas cyanoptera,Cinnamon Teal,,Present
GRBA,Great Basin National Park,Bird,2,Anseriformes,Anatidae,77795,175086,Active,Anas discors,Blue-winged Teal,,Probably Present
GRBA,Great Basin National Park,Bird,2,Anseriformes,Anatidae,77770,175063,Active,Anas platyrhynchos,Mallard,,Present
GRBA,Great Basin National Park,Bird,2,Anseriformes,Anatidae,78512,175128,Active,Aythya collaris,Ring-necked duck,,Present
GRBA,Great Basin National Park,Bird,2,Anseriformes,Anatidae,76625,174999,Active,Branta canadensis,Canada Goose,,Present
GRBA,Great Basin National Park,Bird,2,Apodiformes,Apodidae,83060,178014,Active,Aeronautes saxatalis,White-throated Swift,,Present
GRBA,Great Basin National Park,Bird,2,Apodiformes,Trochilidae,83885,178033,Active,Archilochus alexandri,Black-chinned Hummingbird,,Present
GRBA,Great Basin National Park,Bird,2,Apodiformes,Trochilidae,83890,178038,Active,Selasphorus platycercus,Broad-tailed Hummingbird,,Present
