Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
HALE,Haleakala National Park,Mammal,1,Artiodactyla,Bovidae,86816,183838,Active,Bos taurus,feral cattle,,Present
HALE,Haleakala National Park,Mammal,1,Artiodactyla,Bovidae,95065,180715,Active,Capra hircus,feral goat,,Present
HALE,Haleakala National Park,Mammal,1,Artiodactyla,Cervidae,264828,552474,Active,Axis axis,Axis deer,,Present
HALE,Haleakala National Park,Mammal,1,Artiodactyla,Suidae,95073,180722,Active,Sus scrofa,"feral pig, pig, pua`a",,Present
HALE,Haleakala National Park,Mammal,1,Carnivora,Canidae,86124,183815,Active,Canis familiaris,domestic dog,,Present
HALE,Haleakala National Park,Mammal,1,Carnivora,Felidae,86104,183798,Active,Felis catus,Domestic Cat,Felis silvestris,Present
HALE,Haleakala National Park,Mammal,1,Carnivora,Herpestidae,264257,552467,Active,Herpestes javanicus,small Indian mongoose,,Present
HALE,Haleakala National Park,Mammal,1,Carnivora,Phocidae,1282038,1133135,Active,Neomonachus schauinslandi,Hawaiian monk seal,Monachus schauinslandi,Present
HALE,Haleakala National Park,Mammal,1,Chiroptera,Vespertilionidae,106782,202344,Active,Lasiurus cinereus semotus,Hawaiian Hoary Bat,,Present
HALE,Haleakala National Park,Mammal,1,Rodentia,Muridae,91762,180366,Active,Mus musculus,"`iole, house mouse",,Present
HALE,Haleakala National Park,Mammal,1,Rodentia,Muridae,91760,180364,Active,Rattus exulans,"Polynesian rat, ʻiole",,Present
HALE,Haleakala National Park,Mammal,1,Rodentia,Muridae,91759,180363,Active,Rattus norvegicus,Norway rat,,Present
HALE,Haleakala National Park,Mammal,1,Rodentia,Muridae,91758,180362,Active,Rattus rattus,"black rat, roof rat",,Present
HALE,Haleakala National Park,Bird,2,Accipitriformes,Accipitridae,80455,175430,Active,Circus cyaneus,Northern Harrier,,Probably Present
HALE,Haleakala National Park,Bird,2,Anseriformes,Anatidae,77718,175016,Active,Branta sandvicensis,"Nēnē, Hawaiian Goose",Nesochen sandvicensis,Present
HALE,Haleakala National Park,Bird,2,Charadriiformes,Charadriidae,265872,554381,Active,Pluvialis fulva,Pacific Golden Plover,,Present
HALE,Haleakala National Park,Bird,2,Charadriiformes,Laridae,153317,-501449,Inactive,Anous minutus melanogenys,"Black Noddy, ʻEkiʻeki, Hawaiian Noddy, Noio",,Present
HALE,Haleakala National Park,Bird,2,Charadriiformes,Scolopacidae,77702,176571,Active,Arenaria interpres,"ʻAkekeke, Ruddy Turnstone",,Present
HALE,Haleakala National Park,Bird,2,Charadriiformes,Scolopacidae,79242,176630,Active,Tringa incana,"ʻŪlili, Wandering Tattler",Heteroscelus incanus,Present
HALE,Haleakala National Park,Bird,2,Columbiformes,Columbidae,82677,177071,Active,Columba livia,Rock Dove,,Present
HALE,Haleakala National Park,Bird,2,Columbiformes,Columbidae,83485,177196,Active,Geopelia striata,Zebra Dove,,Present
