Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
HAVO,Hawaii Volcanoes National Park,Mammal,1,Artiodactyla,Bovidae,86816,183838,Active,Bos taurus,"domestic cattle (feral),",,Present
HAVO,Hawaii Volcanoes National Park,Mammal,1,Artiodactyla,Bovidae,95065,180715,Active,Capra hircus,goat (feral),,Present
HAVO,Hawaii Volcanoes National Park,Mammal,1,Artiodactyla,Bovidae,264830,552475,Active,Ovis aries,Feral Sheep,,Present
HAVO,Hawaii Volcanoes National Park,Mammal,1,Artiodactyla,Bovidae,107261,202413,Active,Ovis musimon,Mouflon Sheep,,Present
HAVO,Hawaii Volcanoes National Park,Mammal,1,Artiodactyla,Suidae,95073,180722,Active,Sus scrofa,"feral pig, pua'a",,Present
HAVO,Hawaii Volcanoes National Park,Mammal,1,Carnivora,Canidae,86124,183815,Active,Canis familiaris,domestic dog,,Present
HAVO,Hawaii Volcanoes National Park,Mammal,1,Carnivora,Felidae,86104,183798,Active,Felis catus,Domestic Cat,Felis silvestris,Present
HAVO,Hawaii Volcanoes National Park,Mammal,1,Carnivora,Herpestidae,264257,552467,Active,Herpestes javanicus,small Indian mongoose,Herpestes auropunctatus,Present
HAVO,Hawaii Volcanoes National Park,Mammal,1,Carnivora,Phocidae,1282038,1133135,Active,Neomonachus schauinslandi,Hawaiian monk seal,Monachus schauinslandi,Present
HAVO,Hawaii Volcanoes National Park,Mammal,1,Chiroptera,Vespertilionidae,106782,202344,Active,Lasiurus cinereus semotus,Hawaiian Hoary Bat,,Present
HAVO,Hawaii Volcanoes National Park,Mammal,1,Rodentia,Muridae,91762,180366,Active,Mus musculus,House mouse,,Present
HAVO,Hawaii Volcanoes National Park,Mammal,1,Rodentia,Muridae,91760,180364,Active,Rattus exulans,"Polynesian rat, ʻiole",,Present
HAVO,Hawaii Volcanoes National Park,Mammal,1,Rodentia,Muridae,91759,180363,Active,Rattus norvegicus,Norway rat,,Present
HAVO,Hawaii Volcanoes National Park,Mammal,1,Rodentia,Muridae,91758,180362,Active,Rattus rattus,"black rat, roof rat",,Present
HAVO,Hawaii Volcanoes National Park,Bird,2,Accipitriformes,Accipitridae,80414,175394,Active,Buteo solitarius,"ʻIo, Hawaiian Hawk",,Present
HAVO,Hawaii Volcanoes National Park,Bird,2,Anseriformes,Anatidae,77718,175016,Active,Branta sandvicensis,"Nēnē, Hawaiian Goose",Nesochen sandvicensis,Present
HAVO,Hawaii Volcanoes National Park,Bird,2,Charadriiformes,Charadriidae,265872,554381,Active,Pluvialis fulva,Pacific Golden Plover,Pluvialis dominica fulva,Present
HAVO,Hawaii Volcanoes National Park,Bird,2,Charadriiformes,Laridae,153317,-501449,Inactive,Anous minutus melanogenys,"Black Noddy, ʻEkiʻeki, Hawaiian Noddy, Noio",,Present
HAVO,Hawaii Volcanoes National Park,Bird,2,Charadriiformes,Laridae,848197,824040,Active,Chroicocephalus philadelphia,Bonaparte's Gull,Larus philadelphia,Present
HAVO,Hawaii Volcanoes National Park,Bird,2,Charadriiformes,Laridae,157319,-503197,Active,Gygis alba rothschildi,"Manu-o-ku, White Tern",,Present
HAVO,Hawaii Volcanoes National Park,Bird,2,Charadriiformes,Laridae,848262,824105,Active,Onychoprion fuscatus,"ʻEwaʻewa, Sooty Tern",Sterna fuscata,Present
HAVO,Hawaii Volcanoes National Park,Bird,2,Charadriiformes,Scolopacidae,77702,176571,Active,Arenaria interpres,"ʻAkekeke, Ruddy Turnstone",,Present
HAVO,Hawaii Volcanoes National Park,Bird,2,Charadriiformes,Scolopacidae,79284,176669,Active,Calidris alba,"Sanderling, Hunakai",,Present
HAVO,Hawaii Volcanoes National Park,Bird,2,Charadriiformes,Scolopacidae,79213,176604,Active,Numenius tahitiensis,"Kioea, Bristle-thighed Curlew",,Present
HAVO,Hawaii Volcanoes National Park,Bird,2,Charadriiformes,Scolopacidae,79242,176630,Active,Tringa incana,"ʻŪlili, Wandering Tattler",Heteroscelus incanus,Present
HAVO,Hawaii Volcanoes National Park,Bird,2,Columbiformes,Columbidae,82677,177071,Active,Columba livia,Rock Dove,,Present
HAVO,Hawaii Volcanoes National Park,Bird,2,Columbiformes,Columbidae,83485,177196,Active,Geopelia striata,Zebra Dove,,Present
HAVO,Hawaii Volcanoes National Park,Bird,2,Columbiformes,Columbidae,82747,177134,Active,Streptopelia chinensis,Spotted Dove,,Present
HAVO,Hawaii Volcanoes National Park,Bird,2,Falconiformes,Falconidae,81854,175604,Active,Falco peregrinus,Peregrine Falcon,,Present
