Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
INDU,Indiana Dunes National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,white-tailed deer,,Present
INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Canidae,86124,183815,Active,Canis familiaris,"domestic dog, domestic dog (feral)",,Present
INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Present
INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,gray fox,,Present
INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,red fox,,Present
INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Felidae,93329,180589,Active,Felis silvestris,Domestic Cat,Felis catus,Present
INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,,Present
INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,,Present
INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Mustelidae,93291,180554,Active,Mustela nivalis,Least Weasel,,Present
INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,American Mink,,Present
INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,american badger,,Probably Present
INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,raccoon,,Present
INDU,Indiana Dunes National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,Big Brown Bat,,Present
INDU,Indiana Dunes National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,"Black Bat, Silver-black Bat, Silver-haired Bat",,Present
INDU,Indiana Dunes National Park,Mammal,1,Chiroptera,Vespertilionidae,88739,180016,Active,Lasiurus borealis,"Eastern Red Bat, red bat",,Present
INDU,Indiana Dunes National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,"Hoary Bat, Northern Hoary Bat",,Probably Present
INDU,Indiana Dunes National Park,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",,Present
INDU,Indiana Dunes National Park,Mammal,1,Chiroptera,Vespertilionidae,88722,180000,Active,Myotis septentrionalis,"Northern Bat, Northern Long-eared Bat, Northern Myotis",,Present
INDU,Indiana Dunes National Park,Mammal,1,Chiroptera,Vespertilionidae,88723,180001,Active,Myotis sodalis,"Cluster Bat, Indiana bat, Indiana Myotis, Social Bat",,Present
INDU,Indiana Dunes National Park,Mammal,1,Chiroptera,Vespertilionidae,88746,180022,Active,Nycticeius humeralis,"Evening Bat, North American Evening Bat",,Present
INDU,Indiana Dunes National Park,Mammal,1,Chiroptera,Vespertilionidae,88749,180025,Active,Pipistrellus subflavus,Eastern Pipistrelle,,Present
INDU,Indiana Dunes National Park,Mammal,1,Didelphimorphia,Didelphidae,88114,179921,Active,Didelphis virginiana,Virginia Opossum,,Present
INDU,Indiana Dunes National Park,Mammal,1,Lagomorpha,Leporidae,89651,180124,Active,Sylvilagus floridanus,eastern cottontail,,Present
INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,American Beaver,,Present
INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Cricetidae,91703,180312,Active,Microtus ochrogaster,Prairie Vole,,Present
INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Cricetidae,90766,180297,Active,Microtus pennsylvanicus,Meadow Vole,,Present
INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Cricetidae,91705,180314,Active,Microtus pinetorum,"Pine Vole, Woodland Vole",,Present
INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Cricetidae,91709,180318,Active,Ondatra zibethicus,muskrat,,Present
INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Cricetidae,90745,180278,Active,Peromyscus leucopus,white-footed mouse,,Present
INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Cricetidae,152626,-501771,Active,Peromyscus maniculatus bairdii,prairie deer mouse,,Present
INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Cricetidae,91716,180324,Active,Synaptomys cooperi,southern bog lemming,,Probably Present
INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Dipodidae,91784,180386,Active,Zapus hudsonius,meadow jumping mouse,,Present
INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Muridae,91762,180366,Active,Mus musculus,House Mouse,,Present
INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Muridae,91759,180363,Active,Rattus norvegicus,Norway rat,,Present
INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Sciuridae,89702,180170,Active,Glaucomys volans,Southern Flying Squirrel,,Present
INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Sciuridae,89665,180137,Active,Marmota monax,"Groundhog, Woodchuck",,Present
INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Sciuridae,89707,180175,Active,Sciurus carolinensis,eastern gray squirrel,,Present
INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Sciuridae,89704,180172,Active,Sciurus niger,eastern fox squirrel,,Present
INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Sciuridae,89693,180162,Active,Spermophilus tridecemlineatus,thirteen-lined ground squirrel,,Present
INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Sciuridae,90667,180207,Active,Tamias striatus,eastern chipmunk,,Present
