Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
JOTR,Joshua Tree National Park,Mammal,1,Artiodactyla,Bovidae,152594,-501756,Inactive,Ovis canadensis nelsoni,Nelson's bighorn sheep,Ovis canadensis,Present
JOTR,Joshua Tree National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,mule deer,,Present
JOTR,Joshua Tree National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,coyote,"Canis latrans latrans, Canis latrans mearnsi",Present
JOTR,Joshua Tree National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,gray fox,,Present
JOTR,Joshua Tree National Park,Mammal,1,Carnivora,Canidae,93349,180606,Active,Vulpes macrotis,kit fox,Vulpes macrotis arsipus,Present
JOTR,Joshua Tree National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,bobcat,"Felis rufus, Felis rufus baileyi",Present
JOTR,Joshua Tree National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,cougar,Felis concolor,Present
JOTR,Joshua Tree National Park,Mammal,1,Carnivora,Mephitidae,264255,552466,Active,Spilogale gracilis,western spotted skunk,,Present
JOTR,Joshua Tree National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,long-tailed weasel,,Present
JOTR,Joshua Tree National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,American badger,Taxidea taxus berlandieri,Present
JOTR,Joshua Tree National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,ringtail,,Present
JOTR,Joshua Tree National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,American black bear,,Present
JOTR,Joshua Tree National Park,Mammal,1,Chiroptera,Molossidae,89602,180080,Active,Eumops perotis,western mastiff-bat,,Present
JOTR,Joshua Tree National Park,Mammal,1,Chiroptera,Phyllostomidae,89592,180071,Active,Macrotus californicus,California leaf-nosed bat,,Present
JOTR,Joshua Tree National Park,Mammal,1,Chiroptera,Vespertilionidae,88728,180006,Active,Antrozous pallidus,pallid bat,Antrozous pallidus pallidus,Present
JOTR,Joshua Tree National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,Townsend's big-eared bat,,Present
JOTR,Joshua Tree National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,big brown bat,Eptesicus fuscus pallidus,Present
JOTR,Joshua Tree National Park,Mammal,1,Chiroptera,Vespertilionidae,88733,180010,Active,Euderma maculatum,spotted bat,,Present
JOTR,Joshua Tree National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,hoary bat,,Present
JOTR,Joshua Tree National Park,Mammal,1,Chiroptera,Vespertilionidae,260621,552502,Active,Lasiurus xanthinus,western yellow bat,"Lasiurus ega, Lasiurus ega xanthina",Present
JOTR,Joshua Tree National Park,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,Californian myotis,Myotis californicus stephensi,Present
