Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
KOVA,Kobuk Valley National Park,Mammal,1,Artiodactyla,Bovidae,95057,180708,Active,Ovibos moschatus,muskox,,Present
KOVA,Kobuk Valley National Park,Mammal,1,Artiodactyla,Bovidae,95060,180710,Active,Ovis dalli,Dall sheep,,Probably Present
KOVA,Kobuk Valley National Park,Mammal,1,Artiodactyla,Cervidae,95052,180703,Active,Alces alces,Moose,,Present
KOVA,Kobuk Valley National Park,Mammal,1,Artiodactyla,Cervidae,95050,180701,Active,Rangifer tarandus,Caribou,,Present
KOVA,Kobuk Valley National Park,Mammal,1,Carnivora,Canidae,93345,180602,Active,Alopex lagopus,Arctic fox,,Probably Present
KOVA,Kobuk Valley National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Probably Present
KOVA,Kobuk Valley National Park,Mammal,1,Carnivora,Canidae,93337,180596,Active,Canis lupus,"Gray wolf, Wolf",,Present
KOVA,Kobuk Valley National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red fox,,Present
KOVA,Kobuk Valley National Park,Mammal,1,Carnivora,Felidae,93325,180585,Active,Lynx canadensis,Lynx,,Present
KOVA,Kobuk Valley National Park,Mammal,1,Carnivora,Mustelidae,93288,180551,Active,Gulo gulo,Wolverine,,Present
KOVA,Kobuk Valley National Park,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,"Northern river otter, River otter",,Probably Present
KOVA,Kobuk Valley National Park,Mammal,1,Carnivora,Mustelidae,93296,180559,Active,Martes americana,American marten,,Probably Present
KOVA,Kobuk Valley National Park,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,"Ermine, Short-tailed weasel",,Probably Present
KOVA,Kobuk Valley National Park,Mammal,1,Carnivora,Mustelidae,93291,180554,Active,Mustela nivalis,Least weasel,,Present
KOVA,Kobuk Valley National Park,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,Mink,,Present
KOVA,Kobuk Valley National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,"American black bear, Black bear",,Present
KOVA,Kobuk Valley National Park,Mammal,1,Carnivora,Ursidae,93279,180543,Active,Ursus arctos,"Brown bear, Grizzly bear",,Present
KOVA,Kobuk Valley National Park,Mammal,1,Lagomorpha,Leporidae,89638,180112,Active,Lepus americanus,Snowshoe hare,,Present
KOVA,Kobuk Valley National Park,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,American beaver,,Present
KOVA,Kobuk Valley National Park,Mammal,1,Rodentia,Cricetidae,90762,180293,Active,Clethrionomys rutilus,"Northern red-backed vole, Red-backed vole",,Present
KOVA,Kobuk Valley National Park,Mammal,1,Rodentia,Cricetidae,91720,180328,Active,Dicrostonyx groenlandicus,Collared lemming,,Present
KOVA,Kobuk Valley National Park,Mammal,1,Rodentia,Cricetidae,115313,203526,Active,Lemmus trimucronatus,Brown lemming,,Present
KOVA,Kobuk Valley National Park,Mammal,1,Rodentia,Cricetidae,91699,180309,Active,Microtus miurus,Singing vole,,Present
KOVA,Kobuk Valley National Park,Mammal,1,Rodentia,Cricetidae,90767,180298,Active,Microtus oeconomus,Tundra vole,,Present
KOVA,Kobuk Valley National Park,Mammal,1,Rodentia,Cricetidae,91691,180301,Active,Microtus xanthognathus,"Taiga vole, Yellow-cheeked vole",,Present
KOVA,Kobuk Valley National Park,Mammal,1,Rodentia,Cricetidae,91709,180318,Active,Ondatra zibethicus,Muskrat,,Probably Present
KOVA,Kobuk Valley National Park,Mammal,1,Rodentia,Cricetidae,91715,180323,Active,Synaptomys borealis,Northern bog lemming,,Probably Present
KOVA,Kobuk Valley National Park,Mammal,1,Rodentia,Erethizontidae,91792,180393,Active,Erethizon dorsatum,Porcupine,,Present
KOVA,Kobuk Valley National Park,Mammal,1,Rodentia,Sciuridae,89666,180138,Active,Marmota broweri,"Alaska marmot, Arctic hoary marmot",Marmota caligata,Probably Present
KOVA,Kobuk Valley National Park,Mammal,1,Rodentia,Sciuridae,89675,180146,Active,Spermophilus parryii,Arctic ground squirrel,,Present
KOVA,Kobuk Valley National Park,Mammal,1,Rodentia,Sciuridae,89697,180166,Active,Tamiasciurus hudsonicus,Red squirrel,,Present
KOVA,Kobuk Valley National Park,Mammal,1,Soricomorpha,Soricidae,88122,179929,Active,Sorex cinereus,"Cinereus shrew, Common shrew, Masked shrew",,Present
KOVA,Kobuk Valley National Park,Mammal,1,Soricomorpha,Soricidae,88660,179946,Active,Sorex hoyi,Pygmy shrew,,Present
KOVA,Kobuk Valley National Park,Mammal,1,Soricomorpha,Soricidae,88665,179950,Active,Sorex monticolus,"Dusky shrew, Montane shrew",,Present
KOVA,Kobuk Valley National Park,Mammal,1,Soricomorpha,Soricidae,88672,179957,Active,Sorex tundrensis,Tundra shrew,,Present
KOVA,Kobuk Valley National Park,Mammal,1,Soricomorpha,Soricidae,260635,552509,Active,Sorex ugyunak,Barren ground shrew,,Present
KOVA,Kobuk Valley National Park,Mammal,1,Soricomorpha,Soricidae,267659,555663,Active,Sorex yukonicus,Tiny shrew,,Present
KOVA,Kobuk Valley National Park,Bird,2,Accipitriformes,Accipitridae,79508,175300,Active,Accipiter gentilis,"Goshawk, Northern goshawk",,Present
KOVA,Kobuk Valley National Park,Bird,2,Accipitriformes,Accipitridae,79512,175304,Active,Accipiter striatus,Sharp-shinned hawk,,Present
KOVA,Kobuk Valley National Park,Bird,2,Accipitriformes,Accipitridae,80429,175407,Active,Aquila chrysaetos,Golden eagle,,Present
KOVA,Kobuk Valley National Park,Bird,2,Accipitriformes,Accipitridae,80391,175373,Active,Buteo lagopus,Rough-legged hawk,,Present
KOVA,Kobuk Valley National Park,Bird,2,Accipitriformes,Accipitridae,80455,175430,Active,Circus cyaneus,"Marsh hawk, Northern harrier",,Present
KOVA,Kobuk Valley National Park,Bird,2,Accipitriformes,Accipitridae,80444,175420,Active,Haliaeetus leucocephalus,Bald eagle,,Probably Present
KOVA,Kobuk Valley National Park,Bird,2,Accipitriformes,Pandionidae,81838,175590,Active,Pandion haliaetus,Osprey,,Present
KOVA,Kobuk Valley National Park,Bird,2,Anseriformes,Anatidae,77782,175074,Active,Anas acuta,Northern pintail,,Present
KOVA,Kobuk Valley National Park,Bird,2,Anseriformes,Anatidae,77804,175094,Active,Anas americana,American wigeon,,Present
KOVA,Kobuk Valley National Park,Bird,2,Anseriformes,Anatidae,77806,175096,Active,Anas clypeata,"Northern shoveler, Shoveler",,Present
KOVA,Kobuk Valley National Park,Bird,2,Anseriformes,Anatidae,77790,175081,Active,Anas crecca,Green-winged teal,,Present
