Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
LACL,Lake Clark National Park and Preserve,Mammal,1,Artiodactyla,Bovidae,95060,180710,Active,Ovis dalli,Dall's sheep,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Artiodactyla,Cervidae,95052,180703,Active,Alces alces,Moose,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Artiodactyla,Cervidae,95050,180701,Active,Rangifer tarandus,Caribou,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Carnivora,Canidae,93337,180596,Active,Canis lupus,Gray wolf,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red fox,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Carnivora,Felidae,93325,180585,Active,Lynx canadensis,"Canada lynx, Lynx",,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Carnivora,Mustelidae,408533,622038,Active,Enhydra lutris kenyoni,Sea Otter,Enhydra lutris,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93288,180551,Active,Gulo gulo,Wolverine,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,Northern river otter,Lutra canadensis,Probably Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93296,180559,Active,Martes americana,American marten,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,"Ermine, Short-tailed weasel",,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93291,180554,Active,Mustela nivalis,Least weasel,,Probably Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,Mink,,Probably Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Carnivora,Phocidae,93396,180649,Active,Phoca vitulina,Harbor seal,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,Black bear,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Carnivora,Ursidae,93279,180543,Active,Ursus arctos,Brown bear,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Cetacea,Delphinidae,92538,180469,Active,Orcinus orca,Killer whale,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Cetacea,Monodontidae,92554,180483,Active,Delphinapterus leucas,Beluga,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Cetacea,Phocoenidae,92543,180473,Active,Phocoena phocoena,harbor porpoise,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,Little brown bat,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Lagomorpha,Leporidae,89638,180112,Active,Lepus americanus,Snowshoe hare,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Lagomorpha,Ochotonidae,89633,180108,Active,Ochotona collaris,Collared pika,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,American beaver,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Rodentia,Cricetidae,90762,180293,Active,Clethrionomys rutilus,Northern red-backed vole,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Rodentia,Cricetidae,91720,180328,Active,Dicrostonyx groenlandicus,Northern collared lemming,,Probably Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Rodentia,Cricetidae,115313,203526,Active,Lemmus trimucronatus,Brown lemming,,Probably Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Rodentia,Cricetidae,91699,180309,Active,Microtus miurus,"Alaska vole, Singing vole",,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Rodentia,Cricetidae,90767,180298,Active,Microtus oeconomus,Tundra vole,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Rodentia,Cricetidae,90766,180297,Active,Microtus pennsylvanicus,Meadow vole,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Rodentia,Cricetidae,91709,180318,Active,Ondatra zibethicus,Muskrat,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Rodentia,Cricetidae,91715,180323,Active,Synaptomys borealis,Northern bog lemming,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Rodentia,Dipodidae,91784,180386,Active,Zapus hudsonius,Meadow jumping mouse,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Rodentia,Erethizontidae,91792,180393,Active,Erethizon dorsatum,Porcupine,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Rodentia,Sciuridae,89667,180139,Active,Marmota caligata,Hoary marmot,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Rodentia,Sciuridae,89675,180146,Active,Spermophilus parryii,Arctic ground squirrel,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Rodentia,Sciuridae,89697,180166,Active,Tamiasciurus hudsonicus,Red squirrel,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Soricomorpha,Soricidae,88122,179929,Active,Sorex cinereus,Masked shrew,,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Soricomorpha,Soricidae,88660,179946,Active,Sorex hoyi,Pygmy shrew,,Probably Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Soricomorpha,Soricidae,88665,179950,Active,Sorex monticolus,"Dusky shrew, Montane shrew",,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Soricomorpha,Soricidae,88672,179957,Active,Sorex tundrensis,Tundra shrew,Sorex arcticus,Present
LACL,Lake Clark National Park and Preserve,Mammal,1,Soricomorpha,Soricidae,267659,555663,Active,Sorex yukonicus,Tiny shrew,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Accipitriformes,Accipitridae,79508,175300,Active,Accipiter gentilis,Northern goshawk,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Accipitriformes,Accipitridae,79512,175304,Active,Accipiter striatus,Sharp-shinned hawk,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Accipitriformes,Accipitridae,80429,175407,Active,Aquila chrysaetos,Golden eagle,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Accipitriformes,Accipitridae,79563,175350,Active,Buteo jamaicensis,Red-tailed hawk,,Probably Present
LACL,Lake Clark National Park and Preserve,Bird,2,Accipitriformes,Accipitridae,80391,175373,Active,Buteo lagopus,Rough-legged hawk,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Accipitriformes,Accipitridae,80455,175430,Active,Circus cyaneus,Northern harrier,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Accipitriformes,Accipitridae,80444,175420,Active,Haliaeetus leucocephalus,Bald eagle,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Accipitriformes,Pandionidae,81838,175590,Active,Pandion haliaetus,Osprey,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,77782,175074,Active,Anas acuta,Northern pintail,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,77804,175094,Active,Anas americana,American wigeon,Mareca americana,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,77806,175096,Active,Anas clypeata,Northern shoveler,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,77790,175081,Active,Anas crecca,Green-winged teal,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,77795,175086,Active,Anas discors,Blue-winged teal,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,77802,175092,Active,Anas penelope,Eurasian wigeon,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,77770,175063,Active,Anas platyrhynchos,Mallard,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,77723,175020,Active,Anser albifrons,White-fronted goose,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,78519,175134,Active,Aythya affinis,Lesser scaup,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,77839,175125,Active,Aythya americana,Redhead,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,78512,175128,Active,Aythya collaris,"Ringneck, Ring-necked duck",,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,78515,175130,Active,Aythya marila,Greater scaup,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,78513,175129,Active,Aythya valisineria,Canvasback,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,77713,175011,Active,Branta bernicla,Brant,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,76625,174999,Active,Branta canadensis,Canada goose,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,78531,175145,Active,Bucephala albeola,Bufflehead,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,78527,175141,Active,Bucephala clangula,Barrow's goldeneye,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,78530,175144,Active,Bucephala islandica,Common goldeneye,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,77742,175038,Active,Chen caerulescens,Snow goose,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,77747,175042,Active,Chen canagica,Emperor goose,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,78533,175147,Active,Clangula hyemalis,"Long-tailed Duck, Oldsquaw",,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,76618,174992,Active,Cygnus buccinator,Trumpeter swan,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,76612,174987,Active,Cygnus columbianus,"Tundra swan, Whistling swan",Olor columbianus,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,78535,175149,Active,Histrionicus histrionicus,Harlequin duck,,Present
LACL,Lake Clark National Park and Preserve,Bird,2,Anseriformes,Anatidae,78551,175163,Active,Melanitta fusca,White-winged scoter,Melanitta deglandi,Present
