Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
LAVO,Lassen Volcanic National Park,Mammal,1,,,745916,-9786441,Active,Clethrionomys californicus mazama,,,Present
LAVO,Lassen Volcanic National Park,Mammal,1,,,155967,-501643,Active,Erethizon dorsatum epixanthum,"yellow-haired porcupine, common porcupine, porcupine","Erethizon epixanthum epixanthum, Erethizon dorsatum",Present
LAVO,Lassen Volcanic National Park,Mammal,1,,,672597,-744950,Inactive,Lutra canadensis brevipilosus,River Otter,Lutra canadensis,Present
LAVO,Lassen Volcanic National Park,Mammal,1,Artiodactyla,Antilocapridae,95067,180717,Active,Antilocapra americana,"pronghorn, Pronghorn",,Probably Present
LAVO,Lassen Volcanic National Park,Mammal,1,Artiodactyla,Cervidae,95042,180695,Active,Cervus elaphus,"elk, Red Deer (see comments), wapiti, wapiti or elk",,Probably Present
LAVO,Lassen Volcanic National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,"black-tailed deer, Rocky Mountain mule deer, Columbian black-tailed deer","Odocoileus hemionus hemionus, Odocoileus hemionus var. columbianus, Odocoileus columbianus columbianus, Odocoileus hemionus columbianus",Present
LAVO,Lassen Volcanic National Park,Mammal,1,Carnivora,Canidae,631371,726800,Active,Canis latrans lestes,Coyote,Canis latrans,Present
LAVO,Lassen Volcanic National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",,Present
LAVO,Lassen Volcanic National Park,Mammal,1,Carnivora,Canidae,634054,726953,Active,Vulpes vulpes necator,Red Fox,"Vulpes vulpes, Vulpes fulva necator",Present
LAVO,Lassen Volcanic National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,Felis rufus,Present
LAVO,Lassen Volcanic National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,"mountain lion, mountain lion","Felis oregonensis, Felis oregonensis californica, Felis concolor",Present
LAVO,Lassen Volcanic National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,,Present
LAVO,Lassen Volcanic National Park,Mammal,1,Carnivora,Mephitidae,93309,180570,Active,Spilogale putorius,Spotted skunk,Spilogale gracilis,Probably Present
LAVO,Lassen Volcanic National Park,Mammal,1,Carnivora,Mustelidae,628429,727093,Active,Martes americana sierrae,"American Marten, Marten, American marten, American pine marten","Martes americana, Martes caurina, Martes americana humboldtensis",Present
LAVO,Lassen Volcanic National Park,Mammal,1,Carnivora,Mustelidae,630217,727216,Active,Mustela erminea muricus,Ermine,Mustela erminea,Present
LAVO,Lassen Volcanic National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,,Present
LAVO,Lassen Volcanic National Park,Mammal,1,Carnivora,Mustelidae,629081,726284,Active,Neovison vison,American mink,"Mustela vison, Mustela vision aestuarina",Present
LAVO,Lassen Volcanic National Park,Mammal,1,Carnivora,Mustelidae,669210,-745172,Active,Taxidea taxus neglecta,"American Badger, Badger",Taxidea taxus,Present
LAVO,Lassen Volcanic National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus raptor,Probably Present
LAVO,Lassen Volcanic National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,"common raccoon, Northern Raccoon, Raccoon",,Present
LAVO,Lassen Volcanic National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,Black bear,,Present
LAVO,Lassen Volcanic National Park,Mammal,1,Chiroptera,Vespertilionidae,155961,-501640,Inactive,Eptesicus fuscus bernardinus,Big Brown Bat,Eptesicus fuscus,Present
LAVO,Lassen Volcanic National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,"Black Bat, Silver-black Bat, Silver-haired Bat",,Present
LAVO,Lassen Volcanic National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,"Hoary Bat, Northern Hoary Bat",,Present
LAVO,Lassen Volcanic National Park,Mammal,1,Chiroptera,Vespertilionidae,152516,-501719,Inactive,Myotis californicus californicus,"California Myotis, Californian Myotis",Myotis californicus,Present
LAVO,Lassen Volcanic National Park,Mammal,1,Chiroptera,Vespertilionidae,88714,179995,Active,Myotis evotis,"Long-eared Myotis, Western Long-eared Bat",,Present
LAVO,Lassen Volcanic National Park,Mammal,1,Chiroptera,Vespertilionidae,152523,-501722,Inactive,Myotis lucifugus carissima,"Little Brown Bat, Little Brown Myotis","Myotis lucifugus, Myotis lucifugus altipetens",Present
LAVO,Lassen Volcanic National Park,Mammal,1,Chiroptera,Vespertilionidae,88724,180002,Active,Myotis thysanodes,Fringed Myotis,,Present
