Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
MACA,Mammoth Cave National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,white-tailed deer,,Present
MACA,Mammoth Cave National Park,Mammal,1,Carnivora,Canidae,86124,183815,Active,Canis familiaris,domestic dog,,Present
MACA,Mammoth Cave National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,coyote,,Present
MACA,Mammoth Cave National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,gray fox,,Present
MACA,Mammoth Cave National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,red fox,,Present
MACA,Mammoth Cave National Park,Mammal,1,Carnivora,Felidae,86104,183798,Active,Felis catus,domestic cat,,Present
MACA,Mammoth Cave National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,bobcat,,Present
MACA,Mammoth Cave National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,striped skunk,,Present
MACA,Mammoth Cave National Park,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,river otter,,Present
MACA,Mammoth Cave National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,long-tailed weasel,,Present
MACA,Mammoth Cave National Park,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,mink,Neovison vison,Present
MACA,Mammoth Cave National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,raccoon,,Present
MACA,Mammoth Cave National Park,Mammal,1,Chiroptera,Vespertilionidae,267661,555664,Active,Corynorhinus rafinesquii,Rafinesque's big-eared bat,Plecotus rafinesquii,Present
MACA,Mammoth Cave National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,big brown bat,,Present
