Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
MORA,Mount Rainier National Park,Mammal,1,Artiodactyla,Bovidae,95063,180713,Active,Oreamnos americanus,mountain goat,,Present
MORA,Mount Rainier National Park,Mammal,1,Artiodactyla,Cervidae,95042,180695,Active,Cervus elaphus,wapiti,"Cervus canadensis, Cervus elaphus roosevelti, Cervus elaphus nelsoni",Present
MORA,Mount Rainier National Park,Mammal,1,Artiodactyla,Cervidae,891968,898457,Active,Odocoileus hemionus columbianus,Columbian black-tailed deer,Odocoileus hemionus columbianus,Present
MORA,Mount Rainier National Park,Mammal,1,Artiodactyla,Cervidae,414494,625196,Active,Odocoileus hemionus hemionus,Mule deer,,Present
MORA,Mount Rainier National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,coyote,,Present
MORA,Mount Rainier National Park,Mammal,1,Carnivora,Canidae,633315,726932,Active,Vulpes vulpes cascadensis,"Cascade red fox, red fox, Red Fox","Vulpes vulpes cascadensis, Vulpes vulpes",Present
MORA,Mount Rainier National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,bobcat,,Present
MORA,Mount Rainier National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,"Cougar, Mountain lion","Felis concolor, Puma concolor oregonensis, Felis concolor oregonensis",Present
MORA,Mount Rainier National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,,Present
MORA,Mount Rainier National Park,Mammal,1,Carnivora,Mephitidae,264255,552466,Active,Spilogale gracilis,"Alleghanian Spotted Skunk, Eastern Spotted Skunk, spotted skunk",Spilogale putorius,Present
MORA,Mount Rainier National Park,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,"Common Otter, North American River Otter, Northern River Otter, River Otter",,Present
MORA,Mount Rainier National Park,Mammal,1,Carnivora,Mustelidae,93296,180559,Active,Martes americana,Marten,,Present
MORA,Mount Rainier National Park,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,ermine,,Present
MORA,Mount Rainier National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,long-tailed weasel,,Present
MORA,Mount Rainier National Park,Mammal,1,Carnivora,Mustelidae,629081,726284,Active,Neovison vison,Mink,Mustela vison,Present
MORA,Mount Rainier National Park,Mammal,1,Carnivora,Mustelidae,950238,,Inactive,Pekania pennanti,"Fisher, fisher","Martes pennanti, Pekania pennanti",Present
MORA,Mount Rainier National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,raccoon,,Present
MORA,Mount Rainier National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,black bear,,Present
MORA,Mount Rainier National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,Big Brown Bat,,Present
MORA,Mount Rainier National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,"Black Bat, Silver-black Bat, Silver-haired Bat",,Present
MORA,Mount Rainier National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,"Hoary Bat, Northern Hoary Bat",,Present
MORA,Mount Rainier National Park,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,"California Myotis, Californian Myotis",,Present
MORA,Mount Rainier National Park,Mammal,1,Chiroptera,Vespertilionidae,88714,179995,Active,Myotis evotis,"Long-eared Myotis, Western Long-eared Bat",,Present
MORA,Mount Rainier National Park,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",,Present
MORA,Mount Rainier National Park,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,Long-legged Myotis,,Present
MORA,Mount Rainier National Park,Mammal,1,Chiroptera,Vespertilionidae,88726,180004,Active,Myotis yumanensis,Yuma Myotis,,Present
MORA,Mount Rainier National Park,Mammal,1,Chiroptera,Vespertilionidae,88752,180028,Active,Plecotus townsendii,"mule-eared bat, Pacific Townsend's big-eared bat, Townsend's Big-eared Bat, western big-eared bat, western long-eared bat, western lump-nosed bat",Corynorhinus townsendii,Present
MORA,Mount Rainier National Park,Mammal,1,Didelphimorphia,Didelphidae,88114,179921,Active,Didelphis virginiana,Virginia Opossum,,Present
MORA,Mount Rainier National Park,Mammal,1,Lagomorpha,Leporidae,89638,180112,Active,Lepus americanus,snowshoe hare,,Present
MORA,Mount Rainier National Park,Mammal,1,Lagomorpha,Ochotonidae,89634,180109,Active,Ochotona princeps,pika,,Present
MORA,Mount Rainier National Park,Mammal,1,Rodentia,Aplodontiidae,115260,203479,Active,Aplodontia rufa rainieri,"Mountain Beaver, Sewellel",Aplodontia rufa,Present
MORA,Mount Rainier National Park,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,beaver,,Present
MORA,Mount Rainier National Park,Mammal,1,Rodentia,Cricetidae,90763,180294,Active,Clethrionomys gapperi,red-backed mouse,,Present
MORA,Mount Rainier National Park,Mammal,1,Rodentia,Cricetidae,90768,180299,Active,Microtus longicaudus,long-tailed meadow mouse,,Present
MORA,Mount Rainier National Park,Mammal,1,Rodentia,Cricetidae,91704,180313,Active,Microtus oregoni,Oregon meadow mouse,,Present
MORA,Mount Rainier National Park,Mammal,1,Rodentia,Cricetidae,91706,180315,Active,Microtus richardsoni,water vole,,Present
MORA,Mount Rainier National Park,Mammal,1,Rodentia,Cricetidae,91707,180316,Active,Microtus townsendii,Townsend's meadow vole,,Present
MORA,Mount Rainier National Park,Mammal,1,Rodentia,Cricetidae,91768,180371,Active,Neotoma cinerea,bushy-tailed woodrat,,Present
MORA,Mount Rainier National Park,Mammal,1,Rodentia,Cricetidae,260609,552497,Active,Peromyscus keeni,"Keen's Mouse, Northwestern Deermouse",,Present
MORA,Mount Rainier National Park,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,deer mouse,,Present
MORA,Mount Rainier National Park,Mammal,1,Rodentia,Cricetidae,91754,180359,Active,Phenacomys intermedius,heather vole,,Present
MORA,Mount Rainier National Park,Mammal,1,Rodentia,Dipodidae,91786,180388,Active,Zapus trinotatus,Pacific jumping mouse,,Present
MORA,Mount Rainier National Park,Mammal,1,Rodentia,Erethizontidae,91792,180393,Active,Erethizon dorsatum,porcupine,,Present
MORA,Mount Rainier National Park,Mammal,1,Rodentia,Geomyidae,90690,180228,Active,Thomomys talpoides,northern pocket gopher,,Present
MORA,Mount Rainier National Park,Mammal,1,Rodentia,Sciuridae,89700,180169,Active,Glaucomys sabrinus,flying squirrel,,Present
MORA,Mount Rainier National Park,Mammal,1,Rodentia,Sciuridae,89667,180139,Active,Marmota caligata,hoary marmot,,Present
MORA,Mount Rainier National Park,Mammal,1,Rodentia,Sciuridae,89688,180158,Active,Spermophilus saturatus,Golden-mantled Ground Squirrel,Spermophilus lateralis,Present
MORA,Mount Rainier National Park,Mammal,1,Rodentia,Sciuridae,90648,180190,Active,Tamias amoenus,Yellow-pine Chipmunk,,Present
MORA,Mount Rainier National Park,Mammal,1,Rodentia,Sciuridae,90668,180208,Active,Tamias townsendii,Townsend's Chipmunk,,Present
MORA,Mount Rainier National Park,Mammal,1,Rodentia,Sciuridae,89698,180167,Active,Tamiasciurus douglasii,Douglas's Squirrel,,Present
MORA,Mount Rainier National Park,Mammal,1,Soricomorpha,Soricidae,88654,179940,Active,Sorex bendirii,marsh shrew,,Present
MORA,Mount Rainier National Park,Mammal,1,Soricomorpha,Soricidae,88122,179929,Active,Sorex cinereus,masked shrew,,Probably Present
MORA,Mount Rainier National Park,Mammal,1,Soricomorpha,Soricidae,88665,179950,Active,Sorex monticolus,dusky shrew,Sorex obscurus,Present
MORA,Mount Rainier National Park,Mammal,1,Soricomorpha,Soricidae,88127,179933,Active,Sorex palustris,mountain water shrew,,Present
MORA,Mount Rainier National Park,Mammal,1,Soricomorpha,Soricidae,88671,179956,Active,Sorex trowbridgii,Trowbridge's shrew,,Present
MORA,Mount Rainier National Park,Mammal,1,Soricomorpha,Soricidae,88126,179932,Active,Sorex vagrans,wandering shrew,,Present
MORA,Mount Rainier National Park,Mammal,1,Soricomorpha,Talpidae,88692,179975,Active,Neurotrichus gibbsii,shrew mole,,Present
MORA,Mount Rainier National Park,Mammal,1,Soricomorpha,Talpidae,88700,179982,Active,Scapanus orarius,"Coast Mole, Pacific mole, red-footed mole",,Present
MORA,Mount Rainier National Park,Mammal,1,Soricomorpha,Talpidae,88701,179983,Active,Scapanus townsendii,Townsend's mole,,Probably Present
MORA,Mount Rainier National Park,Bird,2,Accipitriformes,Accipitridae,79517,175309,Active,Accipiter cooperii,Cooper's Hawk,,Present
MORA,Mount Rainier National Park,Bird,2,Accipitriformes,Accipitridae,79509,175301,Active,Accipiter gentilis atricapillus,Western Goshawk,Accipiter gentilis,Present
MORA,Mount Rainier National Park,Bird,2,Accipitriformes,Accipitridae,79512,175304,Active,Accipiter striatus,Sharp-shinned Hawk,,Present
MORA,Mount Rainier National Park,Bird,2,Accipitriformes,Accipitridae,80430,175408,Active,Aquila chrysaetos canadensis,Golden Eagle,Aquila chrysaetos,Present
MORA,Mount Rainier National Park,Bird,2,Accipitriformes,Accipitridae,79563,175350,Active,Buteo jamaicensis,Red-tailed Hawk,,Present
MORA,Mount Rainier National Park,Bird,2,Accipitriformes,Accipitridae,80391,175373,Active,Buteo lagopus,Rough-legged Hawk,,Present
MORA,Mount Rainier National Park,Bird,2,Accipitriformes,Accipitridae,79581,175367,Active,Buteo swainsoni,Swainson's Hawk,,Present
MORA,Mount Rainier National Park,Bird,2,Accipitriformes,Accipitridae,80455,175430,Active,Circus cyaneus,Northern Harrier,,Present
MORA,Mount Rainier National Park,Bird,2,Accipitriformes,Accipitridae,80446,175422,Active,Haliaeetus leucocephalus alascanus,Bald Eagle,"Haliaeetus leucocephalus leucocephalus, Haliaeetus leucocephalus",Present
MORA,Mount Rainier National Park,Bird,2,Accipitriformes,Cathartidae,79468,175265,Active,Cathartes aura,Turkey Vulture,,Present
MORA,Mount Rainier National Park,Bird,2,Accipitriformes,Pandionidae,81838,175590,Active,Pandion haliaetus,Osprey,,Present
MORA,Mount Rainier National Park,Bird,2,Anseriformes,Anatidae,77836,175122,Active,Aix sponsa,Wood Duck,,Present
MORA,Mount Rainier National Park,Bird,2,Anseriformes,Anatidae,77782,175074,Active,Anas acuta,"American Pintail, Northern Pintail",,Present
MORA,Mount Rainier National Park,Bird,2,Anseriformes,Anatidae,77804,175094,Active,Anas americana,American Wigeon,,Present
MORA,Mount Rainier National Park,Bird,2,Anseriformes,Anatidae,77806,175096,Active,Anas clypeata,Northern Shoveler,,Probably Present
MORA,Mount Rainier National Park,Bird,2,Anseriformes,Anatidae,77790,175081,Active,Anas crecca,Green-winged Teal,,Present
MORA,Mount Rainier National Park,Bird,2,Anseriformes,Anatidae,77798,175089,Active,Anas cyanoptera,Cinnamon Teal,,Present
MORA,Mount Rainier National Park,Bird,2,Anseriformes,Anatidae,77770,175063,Active,Anas platyrhynchos,Mallard,,Present
MORA,Mount Rainier National Park,Bird,2,Anseriformes,Anatidae,76625,174999,Active,Branta canadensis,Canada Goose,,Present
MORA,Mount Rainier National Park,Bird,2,Anseriformes,Anatidae,78531,175145,Active,Bucephala albeola,Bufflehead,,Present
MORA,Mount Rainier National Park,Bird,2,Anseriformes,Anatidae,78527,175141,Active,Bucephala clangula,Common Goldeneye,,Present
MORA,Mount Rainier National Park,Bird,2,Anseriformes,Anatidae,78530,175144,Active,Bucephala islandica,Barrow's Goldeneye,,Present
MORA,Mount Rainier National Park,Bird,2,Anseriformes,Anatidae,77742,175038,Active,Chen caerulescens,"Blue Goose, Snow Goose",,Probably Present
MORA,Mount Rainier National Park,Bird,2,Anseriformes,Anatidae,78535,175149,Active,Histrionicus histrionicus,"Harlequin Duck, Western Harlequin Duck",,Present
MORA,Mount Rainier National Park,Bird,2,Anseriformes,Anatidae,78573,175183,Active,Lophodytes cucullatus,Hooded Merganser,,Present
MORA,Mount Rainier National Park,Bird,2,Anseriformes,Anatidae,78576,175186,Active,Mergus merganser americanus,American Merganser,Mergus merganser,Present
MORA,Mount Rainier National Park,Bird,2,Apodiformes,Apodidae,83047,178002,Active,Chaetura vauxi,Vaux's Swift,,Present
