Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
NERI,New River Gorge National Park and Preserve,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,white-tailed deer,,Present
NERI,New River Gorge National Park and Preserve,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,coyote,,Present
NERI,New River Gorge National Park and Preserve,Mammal,1,Carnivora,Canidae,632247,726821,Active,Canis lupus familiaris,"domestic dog, feral dog",Canis familiaris,Present
NERI,New River Gorge National Park and Preserve,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,gray fox,,Present
NERI,New River Gorge National Park and Preserve,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,red fox,Vulpes fulva,Present
NERI,New River Gorge National Park and Preserve,Mammal,1,Carnivora,Felidae,86104,183798,Active,Felis catus,domestic/feral cat,Felis silvestris,Present
NERI,New River Gorge National Park and Preserve,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,bobcat,,Present
NERI,New River Gorge National Park and Preserve,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,striped skunk,,Present
NERI,New River Gorge National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,North American river otter,,Present
NERI,New River Gorge National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93298,180560,Active,Martes pennanti,fisher,,Present
NERI,New River Gorge National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,long-tailed weasel,,Present
NERI,New River Gorge National Park and Preserve,Mammal,1,Carnivora,Mustelidae,629081,726284,Active,Neovison vison,American mink,Mustela vison,Present
NERI,New River Gorge National Park and Preserve,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,raccoon,,Present
NERI,New River Gorge National Park and Preserve,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,American black bear,,Present
NERI,New River Gorge National Park and Preserve,Mammal,1,Chiroptera,Vespertilionidae,115233,203454,Active,Corynorhinus townsendii virginianus,Virginia big-eared bat,,Present
NERI,New River Gorge National Park and Preserve,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,big brown myotis,,Present
NERI,New River Gorge National Park and Preserve,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,silver-haired bat,,Present
NERI,New River Gorge National Park and Preserve,Mammal,1,Chiroptera,Vespertilionidae,88739,180016,Active,Lasiurus borealis,eastern red bat,Lasiurus borealis borealis,Present
NERI,New River Gorge National Park and Preserve,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,hoary bat,,Present
NERI,New River Gorge National Park and Preserve,Mammal,1,Chiroptera,Vespertilionidae,88718,179999,Active,Myotis leibii,"eastern small-footed myotis, small-footed bat",,Present
