Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
NOCA,North Cascades National Park,Mammal,1,Artiodactyla,Bovidae,95063,180713,Active,Oreamnos americanus,mountain goat,,Present
NOCA,North Cascades National Park,Mammal,1,Artiodactyla,Bovidae,95061,180711,Active,Ovis canadensis,bighorn sheep,,Present
NOCA,North Cascades National Park,Mammal,1,Artiodactyla,Cervidae,95052,180703,Active,Alces alces,moose,,Present
NOCA,North Cascades National Park,Mammal,1,Artiodactyla,Cervidae,95042,180695,Active,Cervus elaphus,elk,,Present
NOCA,North Cascades National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,black-tailed deer,,Present
NOCA,North Cascades National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,coyote,,Present
NOCA,North Cascades National Park,Mammal,1,Carnivora,Canidae,93337,180596,Active,Canis lupus,gray wolf,,Present
NOCA,North Cascades National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,red fox,,Present
NOCA,North Cascades National Park,Mammal,1,Carnivora,Felidae,93325,180585,Active,Lynx canadensis,Canada lynx,,Probably Present
NOCA,North Cascades National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,bobcat,,Present
NOCA,North Cascades National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,"cougar, mountain lion",Felis concolor,Present
NOCA,North Cascades National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,striped skunk,,Present
NOCA,North Cascades National Park,Mammal,1,Carnivora,Mephitidae,264255,552466,Active,Spilogale gracilis,western spotted skunk,,Present
NOCA,North Cascades National Park,Mammal,1,Carnivora,Mustelidae,93288,180551,Active,Gulo gulo,wolverine,,Present
NOCA,North Cascades National Park,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,North American river otter,Lutra canadensis,Present
NOCA,North Cascades National Park,Mammal,1,Carnivora,Mustelidae,93296,180559,Active,Martes americana,pine marten,,Present
NOCA,North Cascades National Park,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,ermine,,Present
NOCA,North Cascades National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,long-tailed weasel,,Present
NOCA,North Cascades National Park,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,American mink,,Present
NOCA,North Cascades National Park,Mammal,1,Carnivora,Mustelidae,950238,,Inactive,Pekania pennanti,"Fisher, fisher","Martes pennanti, Pekania pennanti",Present
NOCA,North Cascades National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,raccoon,,Present
NOCA,North Cascades National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,American black bear,,Present
NOCA,North Cascades National Park,Mammal,1,Carnivora,Ursidae,107229,202385,Active,Ursus arctos horribilis,grizzly bear,Ursus arctos,Present
NOCA,North Cascades National Park,Mammal,1,Chiroptera,Vespertilionidae,115232,203453,Active,Corynorhinus townsendii townsendii,Townsend's big-eared bat,"Corynorhinus townsendii, Plecotus townsendii",Probably Present
NOCA,North Cascades National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,big brown bat,,Present
NOCA,North Cascades National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,silver-haired bat,,Present
NOCA,North Cascades National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,hoary bat,,Present
NOCA,North Cascades National Park,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,California myotis,,Present
NOCA,North Cascades National Park,Mammal,1,Chiroptera,Vespertilionidae,88713,179994,Active,Myotis ciliolabrum,western small-footed bat,,Probably Present
