Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
NPSA,National Park of American Samoa,Mammal,1,Artiodactyla,Suidae,95073,180722,Active,Sus scrofa,"feral pig, pig, pua`a",,Present
NPSA,National Park of American Samoa,Mammal,1,Carnivora,Canidae,86124,183815,Active,Canis familiaris,Domestic dog,,Probably Present
NPSA,National Park of American Samoa,Mammal,1,Carnivora,Felidae,86104,183798,Active,Felis catus,Domestic Cat,Felis silvestris,Present
NPSA,National Park of American Samoa,Mammal,1,Cetacea,Balaenopteridae,92607,180530,Active,Megaptera novaeangliae,"humpback whale, ia maanu, tafola",,Present
NPSA,National Park of American Samoa,Mammal,1,Cetacea,Delphinidae,92494,180429,Active,Stenella longirostris,"long-snouted spinner dolphin, spinner dolphin",,Present
NPSA,National Park of American Samoa,Mammal,1,Chiroptera,Pteropodidae,88764,180039,Active,Pteropus samoensis,"pe`a vao, Samoan flying fox, Samoan fruit bat",,Present
NPSA,National Park of American Samoa,Mammal,1,Chiroptera,Pteropodidae,264259,552468,Active,Pteropus tonganus,"insular flying fox, Pacific flying fox, pe`a fanua, white-naped flying fox, white-necked fruit bat",,Present
NPSA,National Park of American Samoa,Mammal,1,Rodentia,Muridae,91762,180366,Active,Mus musculus,"house mouse, isumu",,Present
NPSA,National Park of American Samoa,Mammal,1,Rodentia,Muridae,91760,180364,Active,Rattus exulans,"Polynesian rat, isumu",,Present
NPSA,National Park of American Samoa,Mammal,1,Rodentia,Muridae,91759,180363,Active,Rattus norvegicus,"isumu, Norway rat",,Present
NPSA,National Park of American Samoa,Mammal,1,Rodentia,Muridae,91758,180362,Active,Rattus rattus,"black rat, isumu, roof rat",,Present
NPSA,National Park of American Samoa,Bird,2,,,1365250,,Active,Hypotaenidia philippensis,Buff-banded Rail,"Rallus philippensis, Gallirallus philippensis",Present
NPSA,National Park of American Samoa,Bird,2,,,1365251,,Active,Zapornia tabuensis,Spotless Crake,Porzana tabuensis,Present
NPSA,National Park of American Samoa,Bird,2,Apodiformes,Apodidae,83868,178018,Active,Aerodramus spodiopygius,"pe`ape`a, white-rumped swiftlet",,Present
NPSA,National Park of American Samoa,Bird,2,Charadriiformes,Charadriidae,265872,554381,Active,Pluvialis fulva,"golden plover, Pacific golden plover, tuli",,Present
NPSA,National Park of American Samoa,Bird,2,Charadriiformes,Laridae,81867,176944,Active,Anous minutus,"black noddy, gogo",,Present
NPSA,National Park of American Samoa,Bird,2,Charadriiformes,Laridae,81864,176941,Active,Anous stolidus,"Brown Noddy, Gogo",,Present
NPSA,National Park of American Samoa,Bird,2,Charadriiformes,Laridae,81878,176954,Active,Gygis alba,"manu sina, white tern",,Present
NPSA,National Park of American Samoa,Bird,2,Charadriiformes,Laridae,265891,554390,Active,Procelsterna cerulea,"blue-grey noddy, laia",,Present
NPSA,National Park of American Samoa,Bird,2,Charadriiformes,Laridae,81144,176897,Active,Sterna anaethetus,bridled tern,,Present
NPSA,National Park of American Samoa,Bird,2,Charadriiformes,Laridae,81141,176894,Active,Sterna fuscata,sooty tern,,Probably Present
NPSA,National Park of American Samoa,Bird,2,Charadriiformes,Laridae,81162,176912,Active,Sterna lunata,"gogosina, gray-backed tern",,Present
NPSA,National Park of American Samoa,Bird,2,Charadriiformes,Scolopacidae,77702,176571,Active,Arenaria interpres,"Ruddy Turnstone, Tuli",,Probably Present
NPSA,National Park of American Samoa,Bird,2,Charadriiformes,Scolopacidae,79284,176669,Active,Calidris alba,"Sanderling, Tuli",,Probably Present
NPSA,National Park of American Samoa,Bird,2,Charadriiformes,Scolopacidae,79304,176687,Active,Limosa lapponica,"bar-tailed godwit, tuli",,Probably Present
NPSA,National Park of American Samoa,Bird,2,Charadriiformes,Scolopacidae,79213,176604,Active,Numenius tahitiensis,"Tuli, Bristle-thighed Curlew",,Probably Present
NPSA,National Park of American Samoa,Bird,2,Charadriiformes,Scolopacidae,79242,176630,Active,Tringa incana,"Tuli, Wandering Tattler",Heteroscelus incanus,Present
NPSA,National Park of American Samoa,Bird,2,Columbiformes,Columbidae,84627,177382,Active,Ducula pacifica,"Lupe, Pacific Imperial Pigeon",,Present
NPSA,National Park of American Samoa,Bird,2,Columbiformes,Columbidae,1256134,,Inactive,Pampusana stairi,Tongan Ground Dove,Gallicolumba stairi,Present
NPSA,National Park of American Samoa,Bird,2,Columbiformes,Columbidae,84576,177336,Active,Ptilinopus perousii,"manuma, many-colored fruit dove",,Present
NPSA,National Park of American Samoa,Bird,2,Columbiformes,Columbidae,84577,177337,Active,Ptilinopus porphyraceus,"Manutagi, Crimson-crowned Fruit Dove",,Present
NPSA,National Park of American Samoa,Bird,2,Coraciiformes,Alcedinidae,1344139,1174564,Active,Todiramphus sacer,"Ti‘otala, Pacific Kingfisher","Halcyon chloris, Todiramphus chloris, Todirhamphus chloris, Todiramphus sacer",Present
NPSA,National Park of American Samoa,Bird,2,Cuculiformes,Cuculidae,264885,554720,Active,Eudynamys taitensis,"aleva, long-tailed cuckoo",,Present
NPSA,National Park of American Samoa,Bird,2,Galliformes,Phasianidae,85330,176086,Active,Gallus gallus,Red Junglefowl,,Present
NPSA,National Park of American Samoa,Bird,2,Gruiformes,Rallidae,76697,176390,Active,Porphyrio porphyrio,"manu ali`i, purple swamphen",,Present
NPSA,National Park of American Samoa,Bird,2,Passeriformes,Meliphagidae,598215,711589,Active,Foulehaio carunculatus,"Polynesian Wattled-Honeyeater, Iao",Foulehaio carunculata,Present
NPSA,National Park of American Samoa,Bird,2,Passeriformes,Meliphagidae,1338135,1172027,Active,Myzomela nigriventris,Samoan Myzomela,Myzomela cardinalis,Present
NPSA,National Park of American Samoa,Bird,2,Passeriformes,Monarchidae,917593,920705,Active,Clytorhynchus vitiensis powelli,"Samoan Shrikebill, Sega 'olevau, Manu'a Shrikebill","Clytorhynchus vitiensis, Clytorhynchus powelli",Present
NPSA,National Park of American Samoa,Bird,2,Passeriformes,Sturnidae,266941,554130,Active,Aplonis atrifusca,"fuia, Samoan starling",,Present
NPSA,National Park of American Samoa,Bird,2,Passeriformes,Sturnidae,266949,554134,Active,Aplonis tabuensis,"miti vao, Polynesian starling",,Present
NPSA,National Park of American Samoa,Bird,2,Pelecaniformes,Ardeidae,84432,174788,Active,Ardea novaehollandiae,white-faced heron,,Present
NPSA,National Park of American Samoa,Bird,2,Pelecaniformes,Ardeidae,84474,174825,Active,Egretta sacra,"Pacific reef-heron, reef heron, matu`u",,Present
NPSA,National Park of American Samoa,Bird,2,Phaethontiformes,Phaethontidae,83373,174676,Active,Phaethon lepturus,"tava 'esina, white-tailed tropicbird",,Present
NPSA,National Park of American Samoa,Bird,2,Procellariiformes,Procellariidae,1208382,,Active,Ardenna pacifica,"Taʻiʻo, Wedge-tailed Shearwater",Puffinus pacificus,Probably Present
NPSA,National Park of American Samoa,Bird,2,Procellariiformes,Procellariidae,82453,174570,Active,Pterodroma arminjoniana,"Herald Petrel, Taʻiʻo",,Present
NPSA,National Park of American Samoa,Bird,2,Procellariiformes,Procellariidae,82472,174588,Active,Pterodroma leucoptera,"Collared Petrel, Taʻiʻo",,Present
NPSA,National Park of American Samoa,Bird,2,Procellariiformes,Procellariidae,82476,174591,Active,Pterodroma rostrata,"Tahiti Petrel, Taʻiʻo",,Present
NPSA,National Park of American Samoa,Bird,2,Procellariiformes,Procellariidae,82443,174561,Active,Puffinus lherminieri,"Audubon's shearwater, ta`i`o",,Present
NPSA,National Park of American Samoa,Bird,2,Procellariiformes,Procellariidae,82447,174565,Active,Puffinus nativitatis,"Christmas shearwater, ta`i`o",,Present
NPSA,National Park of American Samoa,Bird,2,Psittaciformes,Psittacidae,85367,177448,Active,Vini australis,"blue-crowned lory, sega",,Present
