Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
OLYM,Olympic National Park,Mammal,1,Artiodactyla,Bovidae,95063,180713,Active,Oreamnos americanus,mountain goat,,Present
OLYM,Olympic National Park,Mammal,1,Artiodactyla,Cervidae,155887,-501605,Active,Cervus elaphus roosevelti,Roosevelt elk,"Cervus elaphus, Cervus canadensis occidentalis, Cervus canadensis roosevelti, Cervus roosevelti",Present
OLYM,Olympic National Park,Mammal,1,Artiodactyla,Cervidae,891968,898457,Active,Odocoileus hemionus columbianus,black-tailed deer,"Odocoileus hemionus, Odocoileus columbianus columbianus, Odocoileus hemionus columbianus",Present
OLYM,Olympic National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,coyote,,Present
OLYM,Olympic National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,red fox,,Present
OLYM,Olympic National Park,Mammal,1,Carnivora,Felidae,93323,180583,Active,Lynx rufus rufus,bobcat,"Lynx rufus, Lynx fasciatus fasciatus, Lynx rufus fasciatus",Present
OLYM,Olympic National Park,Mammal,1,Carnivora,Felidae,265523,552789,Active,Puma concolor oregonensis,"mountain lion, cougar","Felis oregonensis oregonensis, Puma concolor, Felis concolor, Felis concolor oregonensis",Present
OLYM,Olympic National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,striped skunk,Mephitis foetulenta,Present
OLYM,Olympic National Park,Mammal,1,Carnivora,Mephitidae,93309,180570,Active,Spilogale putorius,"civit cat, spotted skunk","Spilogale gracilis latifrons, Spilogale phenax olympica, Spilogale gracilis, Spilogale olympica",Present
OLYM,Olympic National Park,Mammal,1,Carnivora,Mustelidae,93283,180547,Active,Enhydra lutris,sea otter,,Present
OLYM,Olympic National Park,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,"northwestern river otter, River Otter","Lontra canadensis pacifica, Lutra canadensis pacifica, Lutra canadensis",Present
OLYM,Olympic National Park,Mammal,1,Carnivora,Mustelidae,628418,727088,Active,Martes americana caurina,marten,,Present
OLYM,Olympic National Park,Mammal,1,Carnivora,Mustelidae,630223,727219,Active,Mustela erminea olympica,Ermine,"Putorius streatori, Mustela erminea, Mustela erminea olympica",Present
OLYM,Olympic National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,long-tailed weasel,"Mustela frenata altifrontalis, Putorius washingtoni",Present
OLYM,Olympic National Park,Mammal,1,Carnivora,Mustelidae,629081,726284,Active,Neovison vison,American mink,"Mustela vison, Putorius vison energuminus, Mustela vison energumenos",Present
OLYM,Olympic National Park,Mammal,1,Carnivora,Mustelidae,950238,,Inactive,Pekania pennanti,"Fisher, Pacific fisher, fisher","Mustela penanti pacifica, Martes pennanti, Martes pennanti pacifica, Pekania pennanti",Present
OLYM,Olympic National Park,Mammal,1,Carnivora,Otariidae,93372,180627,Active,Callorhinus ursinus,northern fur seal,,Present
OLYM,Olympic National Park,Mammal,1,Carnivora,Otariidae,93370,180625,Active,Eumetopias jubatus,"northern sea lion, Steller sea-lion",,Present
OLYM,Olympic National Park,Mammal,1,Carnivora,Otariidae,93366,180621,Active,Zalophus californianus,California sea-lion,,Present
OLYM,Olympic National Park,Mammal,1,Carnivora,Phocidae,95017,180672,Active,Mirounga angustirostris,northern elephant seal,,Present
OLYM,Olympic National Park,Mammal,1,Carnivora,Phocidae,93396,180649,Active,Phoca vitulina,harbor seal,Phoca vitulina richardsi,Present
OLYM,Olympic National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,raccoon,"Procyon lotor pacifica, Procyon lotor psora",Present
OLYM,Olympic National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,black bear,"Euarctos altifrontalis, Euarctos americanus altifrontalis, Ursus americanus altifrontalis",Present
OLYM,Olympic National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,"long-eared bat, western big-eared bat","Plecotus townsendii, Plecotus townsendii townsendii",Present
OLYM,Olympic National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,big brown bat,,Present
OLYM,Olympic National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,silver-haired bat,,Present
OLYM,Olympic National Park,Mammal,1,Chiroptera,Vespertilionidae,106781,202343,Active,Lasiurus cinereus cinereus,hoary bat,,Present
OLYM,Olympic National Park,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,California myotis,,Present
OLYM,Olympic National Park,Mammal,1,Chiroptera,Vespertilionidae,88714,179995,Active,Myotis evotis,long-eared myotis,,Present
OLYM,Olympic National Park,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Myotis lucifugus alascensis,Present
OLYM,Olympic National Park,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,"hairy-winged myotis, long-legged myotis",Myotis volans longicrus,Present
OLYM,Olympic National Park,Mammal,1,Chiroptera,Vespertilionidae,88726,180004,Active,Myotis yumanensis,Yuma myotis,Myotis yumanensis saturatus,Present
OLYM,Olympic National Park,Mammal,1,Didelphimorphia,Didelphidae,88114,179921,Active,Didelphis virginiana,Virginia Opossum,,Present
OLYM,Olympic National Park,Mammal,1,Lagomorpha,Leporidae,89638,180112,Active,Lepus americanus,snowshoe rabbit,"Lepus washingtonii, Lepus washingtonii washingtonii, Lepus americanus washingtonii, Lepus americanus cascadensis",Present
OLYM,Olympic National Park,Mammal,1,Rodentia,Aplodontiidae,89661,180133,Active,Aplodontia rufa,"Mountain Beaver, Sewellel","Aplodontia rufa rufa, Aplodontia olympica",Present
