Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
PINN,Pinnacles National Park,Mammal,1,Artiodactyla,Bovidae,86816,183838,Active,Bos taurus,"aurochs, Aurochs, domestic cattle (feral), domesticated cattle",,Present
PINN,Pinnacles National Park,Mammal,1,Artiodactyla,Bovidae,95065,180715,Active,Capra hircus,"domestic goat, Goat, goat (feral)",,Present
PINN,Pinnacles National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,"black-tailed deer, mule deer",,Present
PINN,Pinnacles National Park,Mammal,1,Artiodactyla,Suidae,95073,180722,Active,Sus scrofa,"wild boar, pig, hog",,Present
PINN,Pinnacles National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Present
PINN,Pinnacles National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",,Present
PINN,Pinnacles National Park,Mammal,1,Carnivora,Felidae,93329,180589,Active,Felis silvestris,"wild cat, Wildcat",,Present
PINN,Pinnacles National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,,Present
PINN,Pinnacles National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,"cougar, puma, mountain lion,",Felis concolor,Present
PINN,Pinnacles National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,,Present
PINN,Pinnacles National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,,Present
PINN,Pinnacles National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,North American Badger,,Present
PINN,Pinnacles National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,"common raccoon, Northern Raccoon, Raccoon",,Present
PINN,Pinnacles National Park,Mammal,1,Chiroptera,Molossidae,89602,180080,Active,Eumops perotis,"Greater Bonneted Bat, Western Bonneted Bat, Western Mastiff-bat",,Present
PINN,Pinnacles National Park,Mammal,1,Chiroptera,Molossidae,89607,180085,Active,Nyctinomops femorosaccus,Pocketed Free-tailed Bat,,Probably Present
PINN,Pinnacles National Park,Mammal,1,Chiroptera,Molossidae,89608,180086,Active,Nyctinomops macrotis,Big Free-tailed Bat,,Probably Present
PINN,Pinnacles National Park,Mammal,1,Chiroptera,Molossidae,89610,180088,Active,Tadarida brasiliensis,"Brazilian Free-tailed Bat, Mexican Free-tailed Bat",,Present
PINN,Pinnacles National Park,Mammal,1,Chiroptera,Vespertilionidae,88728,180006,Active,Antrozous pallidus,Pallid Bat,,Present
PINN,Pinnacles National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,Townsends' Big-eared Bat,"Corynorhinus townsendii townsendii, Plecotus townsendii townsendii",Present
PINN,Pinnacles National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,big brown bat,Eptesicus fuscus bernardinus,Present
PINN,Pinnacles National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,"Black Bat, Silver-black Bat, Silver-haired Bat",,Probably Present
PINN,Pinnacles National Park,Mammal,1,Chiroptera,Vespertilionidae,260642,552512,Active,Lasiurus blossevillii,"Red Bat, Southern Red Bat, Western Red Bat",,Present
PINN,Pinnacles National Park,Mammal,1,Chiroptera,Vespertilionidae,88739,180016,Active,Lasiurus borealis,"Eastern Red Bat, red bat",,Probably Present
PINN,Pinnacles National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,"Hoary Bat, Northern Hoary Bat",,Present
PINN,Pinnacles National Park,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,"California Myotis, Californian Myotis",,Present
PINN,Pinnacles National Park,Mammal,1,Chiroptera,Vespertilionidae,88713,179994,Active,Myotis ciliolabrum,"Small-footed Myotis, western small-footed bat, Western Small-footed Myotis",,Present
PINN,Pinnacles National Park,Mammal,1,Chiroptera,Vespertilionidae,88714,179995,Active,Myotis evotis,"Long-eared Myotis, Western Long-eared Bat",,Present
PINN,Pinnacles National Park,Mammal,1,Chiroptera,Vespertilionidae,88718,179999,Active,Myotis leibii,"Eastern Small-footed Bat, Eastern Small-footed Myotis, Small-footed Myotis",,Probably Present
PINN,Pinnacles National Park,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",,Probably Present
PINN,Pinnacles National Park,Mammal,1,Chiroptera,Vespertilionidae,88724,180002,Active,Myotis thysanodes,Fringed Myotis,,Present
PINN,Pinnacles National Park,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,Long-legged Myotis,,Present
PINN,Pinnacles National Park,Mammal,1,Chiroptera,Vespertilionidae,88726,180004,Active,Myotis yumanensis,Yuma Myotis,,Present
PINN,Pinnacles National Park,Mammal,1,Chiroptera,Vespertilionidae,88748,180024,Active,Pipistrellus hesperus,Western Pipistrelle,,Present
PINN,Pinnacles National Park,Mammal,1,Didelphimorphia,Didelphidae,88114,179921,Active,Didelphis virginiana,Virginia Opossum,,Present
PINN,Pinnacles National Park,Mammal,1,Lagomorpha,Leporidae,89641,180115,Active,Lepus californicus,"Black-tailed Jack Rabbit, Black-tailed Jackrabbit, California Jackrabbit, Gray-sided Jackrabbit, Great Plains Jackrabbit, Jackass-hare, Narrow-gauge Mule, Texan Hare, Texas Jack",,Present
PINN,Pinnacles National Park,Mammal,1,Lagomorpha,Leporidae,89649,180122,Active,Sylvilagus audubonii,"Audubon's cottontail, Desert cottontail",,Present
PINN,Pinnacles National Park,Mammal,1,Lagomorpha,Leporidae,89650,180123,Active,Sylvilagus bachmani,"Brush Rabbit, Riparian Brush Rabbit",,Present
PINN,Pinnacles National Park,Mammal,1,Rodentia,Cricetidae,91695,180305,Active,Microtus californicus,"Amargosa Vole, California Vole",,Present
PINN,Pinnacles National Park,Mammal,1,Rodentia,Cricetidae,91770,180373,Active,Neotoma fuscipes,Dusky-footed Woodrat,,Present
PINN,Pinnacles National Park,Mammal,1,Rodentia,Cricetidae,91771,180374,Active,Neotoma lepida,Desert Woodrat,,Present
PINN,Pinnacles National Park,Mammal,1,Rodentia,Cricetidae,90750,180282,Active,Peromyscus boylii,"Brush Deermouse, Brush Mouse",,Present
PINN,Pinnacles National Park,Mammal,1,Rodentia,Cricetidae,90751,180283,Active,Peromyscus californicus,"California Deermouse, California Mouse",,Present
PINN,Pinnacles National Park,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,Prairie deer mouse,,Present
PINN,Pinnacles National Park,Mammal,1,Rodentia,Cricetidae,90760,180291,Active,Peromyscus truei,pinyon mouse,,Present
PINN,Pinnacles National Park,Mammal,1,Rodentia,Cricetidae,91737,180343,Active,Reithrodontomys megalotis,Western Harvest Mouse,,Present
PINN,Pinnacles National Park,Mammal,1,Rodentia,Geomyidae,90684,180222,Active,Thomomys bottae,Valley Pocket Gopher,,Present
PINN,Pinnacles National Park,Mammal,1,Rodentia,Heteromyidae,260597,552491,Active,Chaetodipus californicus,California pocket mouse,Perognathus californicus,Present
PINN,Pinnacles National Park,Mammal,1,Rodentia,Heteromyidae,90701,180238,Active,Dipodomys elephantinus,Elephant-eared Kangaroo Rat,,Present
PINN,Pinnacles National Park,Mammal,1,Rodentia,Heteromyidae,90702,180239,Active,Dipodomys heermanni,Heermann's Kangaroo Rat,,Present
PINN,Pinnacles National Park,Mammal,1,Rodentia,Heteromyidae,90712,180248,Active,Dipodomys venustus,Narrow-faced Kangaroo Rat,,Present
PINN,Pinnacles National Park,Mammal,1,Rodentia,Muridae,91762,180366,Active,Mus musculus,House Mouse,,Present
PINN,Pinnacles National Park,Mammal,1,Rodentia,Sciuridae,89677,180148,Active,Spermophilus beecheyi,"Beechey Ground Squirrel, California Ground Squirrel",Citellus beecheyi,Present
PINN,Pinnacles National Park,Mammal,1,Rodentia,Sciuridae,90652,180194,Active,Tamias merriami,Merriam chipmunk,Eutamias merriami,Present
PINN,Pinnacles National Park,Mammal,1,Soricomorpha,Soricidae,88667,179952,Active,Sorex ornatus,"Ornate Shrew, Suisun shrew",,Present
PINN,Pinnacles National Park,Mammal,1,Soricomorpha,Talpidae,88699,179981,Active,Scapanus latimanus,Broad-footed Mole,,Present
PINN,Pinnacles National Park,Bird,2,Accipitriformes,Accipitridae,79517,175309,Active,Accipiter cooperii,Cooper's Hawk,,Present
PINN,Pinnacles National Park,Bird,2,Accipitriformes,Accipitridae,79512,175304,Active,Accipiter striatus,Sharp-shinned Hawk,,Present
PINN,Pinnacles National Park,Bird,2,Accipitriformes,Accipitridae,80429,175407,Active,Aquila chrysaetos,Golden Eagle,,Present
PINN,Pinnacles National Park,Bird,2,Accipitriformes,Accipitridae,79563,175350,Active,Buteo jamaicensis,Red-tailed Hawk,,Present
PINN,Pinnacles National Park,Bird,2,Accipitriformes,Accipitridae,80391,175373,Active,Buteo lagopus,rough-legged hawk,,Present
