Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
REDW,Redwood National Park,Mammal,1,,,151592,-501679,Active,Lutra canadensis pacifica,river otter,"Lutra canadensis brevipilosus, Lutra canadensis",Present
REDW,Redwood National Park,Mammal,1,Artiodactyla,Cervidae,155887,-501605,Active,Cervus elaphus roosevelti,Roosevelt Elk,"Cervus canadensis, Cervus elaphus, Cervus canadensis roosevelti",Present
REDW,Redwood National Park,Mammal,1,Artiodactyla,Cervidae,152567,-501743,Inactive,Odocoileus hemionus columbianus,Black-Tailed Deer,"Odocoileus hemionus, Dama hemionus",Present
REDW,Redwood National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Present
REDW,Redwood National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,Gray Fox,,Present
REDW,Redwood National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red Fox,,Present
REDW,Redwood National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,Felis rufus,Present
REDW,Redwood National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,cougar,"Felis concolor, Felis concolor californica",Present
REDW,Redwood National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,,Present
REDW,Redwood National Park,Mammal,1,Carnivora,Mephitidae,264255,552466,Active,Spilogale gracilis,Spotted Skunk,"Spilogale putorius phenax, Spilogale putorius",Present
REDW,Redwood National Park,Mammal,1,Carnivora,Mustelidae,629198,727128,Active,Martes pennanti pacifica,Fisher,Martes pennanti,Present
REDW,Redwood National Park,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,Ermine,,Present
REDW,Redwood National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Longtail Weasel,,Present
REDW,Redwood National Park,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,Mink,,Present
REDW,Redwood National Park,Mammal,1,Carnivora,Otariidae,93372,180627,Active,Callorhinus ursinus,Northern Fur Seal,,Probably Present
REDW,Redwood National Park,Mammal,1,Carnivora,Otariidae,93370,180625,Active,Eumetopias jubatus,Northern Sea Lion (Stellar),,Present
REDW,Redwood National Park,Mammal,1,Carnivora,Otariidae,93366,180621,Active,Zalophus californianus,California Sea Lion,,Present
REDW,Redwood National Park,Mammal,1,Carnivora,Phocidae,95017,180672,Active,Mirounga angustirostris,Elephant Seal,,Present
REDW,Redwood National Park,Mammal,1,Carnivora,Phocidae,93396,180649,Active,Phoca vitulina,Harbor Seal,,Present
REDW,Redwood National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Present
REDW,Redwood National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,Raccoon,,Present
REDW,Redwood National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,Black Bear,"Euarctos americanus, Ursus americanus altifrontalis",Present
REDW,Redwood National Park,Mammal,1,Cetacea,Balaenidae,92615,180538,Active,Balaena glacialis,"black right whale, black whale, right whale","Balaena robusta, Eubalaena sieboldii",Present
REDW,Redwood National Park,Mammal,1,Cetacea,Balaenopteridae,92600,180524,Active,Balaenoptera acutorostrata,Minke Whale,,Present
REDW,Redwood National Park,Mammal,1,Cetacea,Balaenopteridae,92602,180526,Active,Balaenoptera borealis,Sei Whale,,Present
REDW,Redwood National Park,Mammal,1,Cetacea,Balaenopteridae,92604,180528,Active,Balaenoptera musculus,Blue Whale,,Present
REDW,Redwood National Park,Mammal,1,Cetacea,Balaenopteridae,92603,180527,Active,Balaenoptera physalus,Fin Whale,,Present
REDW,Redwood National Park,Mammal,1,Cetacea,Balaenopteridae,92607,180530,Active,Megaptera novaeangliae,Humpback Whale,,Present
REDW,Redwood National Park,Mammal,1,Cetacea,Delphinidae,92504,180438,Active,Delphinus delphis,Common Dolphin,,Present
