Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
SAGU,Saguaro National Park,Mammal,1,Artiodactyla,Bovidae,86816,183838,Active,Bos taurus,domestic cattle,,Present
SAGU,Saguaro National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,mule deer,,Present
SAGU,Saguaro National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,white-tailed deer,,Present
SAGU,Saguaro National Park,Mammal,1,Artiodactyla,Tayassuidae,264631,552761,Active,Pecari tajacu,collared peccary,Dicotyles tajacu,Present
SAGU,Saguaro National Park,Mammal,1,Carnivora,Canidae,86124,183815,Active,Canis familiaris,feral dog,,Present
SAGU,Saguaro National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,coyote,,Present
SAGU,Saguaro National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,common gray fox,,Present
SAGU,Saguaro National Park,Mammal,1,Carnivora,Canidae,93349,180606,Active,Vulpes macrotis,Kit Fox,,Present
SAGU,Saguaro National Park,Mammal,1,Carnivora,Felidae,93329,180589,Active,Felis silvestris,Domestic Cat,Felis catus,Present
SAGU,Saguaro National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,bobcat,Felis rufus,Present
SAGU,Saguaro National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,mountain lion,"Felis concolor, Puma concolor azteca",Present
SAGU,Saguaro National Park,Mammal,1,Carnivora,Mephitidae,93306,180568,Active,Conepatus mesoleucus,white-backed hog-nosed skunk,,Present
SAGU,Saguaro National Park,Mammal,1,Carnivora,Mephitidae,93301,180563,Active,Mephitis macroura,hooded skunk,,Present
SAGU,Saguaro National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,striped skunk,,Present
SAGU,Saguaro National Park,Mammal,1,Carnivora,Mephitidae,93309,180570,Active,Spilogale putorius,Western Spotted Skunk,Spilogale gracilis,Present
SAGU,Saguaro National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,"American badger, badger",,Present
SAGU,Saguaro National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,ringtail,,Present
SAGU,Saguaro National Park,Mammal,1,Carnivora,Procyonidae,264247,552462,Active,Nasua narica,white-nosed coati,,Present
SAGU,Saguaro National Park,Mammal,1,Carnivora,Procyonidae,93318,180579,Active,Nasua nasua,South American Coati,,Present
SAGU,Saguaro National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,"common raccoon, Northern Raccoon, Raccoon",,Present
SAGU,Saguaro National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,American black bear,,Present
SAGU,Saguaro National Park,Mammal,1,Chiroptera,Molossidae,89607,180085,Active,Nyctinomops femorosaccus,pocketed free-tailed bat,,Present
SAGU,Saguaro National Park,Mammal,1,Chiroptera,Molossidae,89610,180088,Active,Tadarida brasiliensis,"Brazilian free-tailed bat, Mexican free-tailed bat",Tadarida mexicana,Present
SAGU,Saguaro National Park,Mammal,1,Chiroptera,Phyllostomidae,89582,180062,Active,Choeronycteris mexicana,"long-tongued bat, Mexican long-tongued bat",,Present
SAGU,Saguaro National Park,Mammal,1,Chiroptera,Phyllostomidae,264251,552464,Active,Leptonycteris curasoae,"Lesser long-nosed, Lesser long-nosed bat",,Present
SAGU,Saguaro National Park,Mammal,1,Chiroptera,Phyllostomidae,106785,202347,Active,Leptonycteris yerbabuenae,"Lesser Long-nosed Bat, Sanborn's Long-nosed Bat","Leptonycteris curasoae yerbabuenae, Leptonycteris sanborni",Present
SAGU,Saguaro National Park,Mammal,1,Chiroptera,Phyllostomidae,89592,180071,Active,Macrotus californicus,California leaf-nosed bat,,Present
SAGU,Saguaro National Park,Mammal,1,Chiroptera,Vespertilionidae,88728,180006,Active,Antrozous pallidus,pallid bat,"Antrozous pallidus pallidus, Antrosous pallidus pallidus",Present
SAGU,Saguaro National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,big brown bat,,Present
SAGU,Saguaro National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,silver-haired bat,,Present
SAGU,Saguaro National Park,Mammal,1,Chiroptera,Vespertilionidae,260642,552512,Active,Lasiurus blossevillii,western red bat,,Present
SAGU,Saguaro National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,hoary bat,,Present
SAGU,Saguaro National Park,Mammal,1,Chiroptera,Vespertilionidae,88711,179992,Active,Myotis auriculus,southwestern myotis,,Present
SAGU,Saguaro National Park,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,"California myotis, californis myotis",Myotis californicus californicus,Present
SAGU,Saguaro National Park,Mammal,1,Chiroptera,Vespertilionidae,88718,179999,Active,Myotis leibii,"Small-footed Myotis, western small-footed bat, Western Small-footed Myotis",Myotis ciliolabrum,Present
SAGU,Saguaro National Park,Mammal,1,Chiroptera,Vespertilionidae,88724,180002,Active,Myotis thysanodes,fringed myotis,,Present
SAGU,Saguaro National Park,Mammal,1,Chiroptera,Vespertilionidae,88725,180003,Active,Myotis velifer,cave myotis,Myotis velifer velifer,Present
SAGU,Saguaro National Park,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,long-legged myotis,,Present
SAGU,Saguaro National Park,Mammal,1,Chiroptera,Vespertilionidae,88726,180004,Active,Myotis yumanensis,Yuma myotis,,Present
SAGU,Saguaro National Park,Mammal,1,Chiroptera,Vespertilionidae,88748,180024,Active,Pipistrellus hesperus,western pipistrelle,,Present
SAGU,Saguaro National Park,Mammal,1,Chiroptera,Vespertilionidae,88752,180028,Active,Plecotus townsendii,Townsend's big-eared bat,Corynorhinus townsendii pallescens,Present
SAGU,Saguaro National Park,Mammal,1,Lagomorpha,Leporidae,89640,180114,Active,Lepus alleni,antelope jackrabbit,,Present
SAGU,Saguaro National Park,Mammal,1,Lagomorpha,Leporidae,89641,180115,Active,Lepus californicus,black-tailed jackrabbit,,Present
SAGU,Saguaro National Park,Mammal,1,Lagomorpha,Leporidae,89649,180122,Active,Sylvilagus audubonii,desert cottontail,,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,American beaver,,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Cricetidae,91767,180370,Active,Neotoma albigula,"western white-throated woodrat, white-throated woodrat",,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Cricetidae,91772,180375,Active,Neotoma mexicana,Mexican Woodrat,,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Cricetidae,91781,180383,Active,Onychomys torridus,Southern Grasshopper Mouse,,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Cricetidae,90750,180282,Active,Peromyscus boylii,brush mouse,,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Cricetidae,90754,180286,Active,Peromyscus eremicus,cactus mouse,Peromyscus eremicus eremicus,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Cricetidae,90745,180278,Active,Peromyscus leucopus,"White-footed Deermouse, White-footed Mouse",,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,deer mouse,,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Cricetidae,91735,180341,Active,Reithrodontomys fulvescens,fulvous harvest mouse,,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Cricetidae,91737,180343,Active,Reithrodontomys megalotis,Western harvest mouse,Reithrodontomys megalotis megalotis,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Cricetidae,91741,180347,Active,Sigmodon arizonae,ARIZONA COTTON RAT,Sigmodon arizonae arizonae,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Cricetidae,91745,180350,Active,Sigmodon ochrognathus,Yellow-nosed Cotton Rat,,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Geomyidae,90684,180222,Active,Thomomys bottae,Botta's pocket gopher,,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Heteromyidae,260659,552520,Active,Chaetodipus baileyi,Bailey's pocket mouse,Perognathus baileyi,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Heteromyidae,260582,552484,Active,Chaetodipus intermedius,rock pocket mouse,"Chaetodipus intermedius intermedius, Perognathus intermedius",Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Heteromyidae,260586,552486,Active,Chaetodipus penicillatus,Sonoran Desert pocket mouse,Perognathus penicillatus,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Heteromyidae,90705,180241,Active,Dipodomys merriami,Merriam's kangaroo rat,,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Heteromyidae,90721,180256,Active,Perognathus amplus,Arizona pocket mouse,,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Sciuridae,90635,180179,Active,Ammospermophilus harrisii,"Harris antelope squirrel, Harris' antelope squirrel",Citellus harisi,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Sciuridae,89705,180173,Active,Sciurus aberti,Abert's squirrel,,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Sciuridae,89706,180174,Active,Sciurus arizonensis,Arizona gray squirrel,,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Sciuridae,89691,180160,Active,Spermophilus tereticaudus,Round-tailed Ground Squirrel,,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Sciuridae,89694,180163,Active,Spermophilus variegatus,rock squirrel,,Present
SAGU,Saguaro National Park,Mammal,1,Rodentia,Sciuridae,90651,180193,Active,Tamias dorsalis,Cliff Chipmunk,Neotamias dorsalis,Present
SAGU,Saguaro National Park,Mammal,1,Soricomorpha,Soricidae,88690,179973,Active,Notiosorex crawfordi,"Crawford's Gray Shrew, Desert Shrew, gray shrew",,Present
SAGU,Saguaro National Park,Bird,2,Accipitriformes,Accipitridae,79517,175309,Active,Accipiter cooperii,Cooper's hawk,,Present
SAGU,Saguaro National Park,Bird,2,Accipitriformes,Accipitridae,79508,175300,Active,Accipiter gentilis,Northern Goshawk,,Present
SAGU,Saguaro National Park,Bird,2,Accipitriformes,Accipitridae,79512,175304,Active,Accipiter striatus,Sharp-shinned Hawk,,Present
SAGU,Saguaro National Park,Bird,2,Accipitriformes,Accipitridae,80429,175407,Active,Aquila chrysaetos,Golden Eagle,,Present
SAGU,Saguaro National Park,Bird,2,Accipitriformes,Accipitridae,79582,175368,Active,Buteo albonotatus,zone-tailed hawk,,Present
SAGU,Saguaro National Park,Bird,2,Accipitriformes,Accipitridae,79563,175350,Active,Buteo jamaicensis,Red-tailed hawk,,Present
SAGU,Saguaro National Park,Bird,2,Accipitriformes,Accipitridae,80396,175378,Active,Buteo nitidus,"Gray Hawk, northern gray hawk","Asturina nitida, Asturina nitida maxima",Present
SAGU,Saguaro National Park,Bird,2,Accipitriformes,Accipitridae,79581,175367,Active,Buteo swainsoni,Swainson's Hawk,,Present
SAGU,Saguaro National Park,Bird,2,Accipitriformes,Accipitridae,80424,175402,Active,Buteogallus anthracinus,Common Black-Hawk,,Present
SAGU,Saguaro National Park,Bird,2,Accipitriformes,Accipitridae,80455,175430,Active,Circus cyaneus,Northern Harrier,,Present
SAGU,Saguaro National Park,Bird,2,Accipitriformes,Accipitridae,80417,175397,Active,Parabuteo unicinctus,Harris' Hawk,,Present
SAGU,Saguaro National Park,Bird,2,Accipitriformes,Cathartidae,79468,175265,Active,Cathartes aura,Turkey Vulture,,Present
SAGU,Saguaro National Park,Bird,2,Accipitriformes,Cathartidae,79476,175272,Active,Coragyps atratus,Black Vulture,,Present
SAGU,Saguaro National Park,Bird,2,Accipitriformes,Pandionidae,81838,175590,Active,Pandion haliaetus,"Osprey, Western Osprey",,Present
SAGU,Saguaro National Park,Bird,2,Anseriformes,Anatidae,77770,175063,Active,Anas platyrhynchos,Mallard,,Present
SAGU,Saguaro National Park,Bird,2,Anseriformes,Anatidae,78573,175183,Active,Lophodytes cucullatus,Hooded merganser,,Present
SAGU,Saguaro National Park,Bird,2,Apodiformes,Apodidae,83060,178014,Active,Aeronautes saxatalis,White-throated Swift,,Present
SAGU,Saguaro National Park,Bird,2,Apodiformes,Apodidae,83047,178002,Active,Chaetura vauxi,Vaux's Swift,,Present
SAGU,Saguaro National Park,Bird,2,Apodiformes,Trochilidae,83885,178033,Active,Archilochus alexandri,black-chinned hummingbird,,Present
SAGU,Saguaro National Park,Bird,2,Apodiformes,Trochilidae,83888,178036,Active,Calypte anna,Anna's hummingbird,,Present
SAGU,Saguaro National Park,Bird,2,Apodiformes,Trochilidae,83887,178035,Active,Calypte costae,Costa's Hummingbird,,Present
SAGU,Saguaro National Park,Bird,2,Apodiformes,Trochilidae,83929,178073,Active,Cynanthus latirostris,Broad-billed Hummingbird,,Present
SAGU,Saguaro National Park,Bird,2,Apodiformes,Trochilidae,83904,178050,Active,Eugenes fulgens,magnificent hummingbird,,Present
SAGU,Saguaro National Park,Bird,2,Apodiformes,Trochilidae,83890,178038,Active,Selasphorus platycercus,broad-tailed hummingbird,,Present
SAGU,Saguaro National Park,Bird,2,Apodiformes,Trochilidae,83893,178040,Active,Selasphorus rufus,Rufous Hummingbird,,Present
SAGU,Saguaro National Park,Bird,2,Apodiformes,Trochilidae,83901,178048,Active,Stellula calliope,Calliope Hummingbird,,Present
SAGU,Saguaro National Park,Bird,2,Caprimulgiformes,Caprimulgidae,83000,177961,Active,Caprimulgus vociferus,Whip-Poor-Will,,Present
SAGU,Saguaro National Park,Bird,2,Caprimulgiformes,Caprimulgidae,83029,177988,Active,Chordeiles acutipennis,Lesser Nighthawk,,Present
SAGU,Saguaro National Park,Bird,2,Caprimulgiformes,Caprimulgidae,83019,177979,Active,Chordeiles minor,Common Nighthawk,,Present
SAGU,Saguaro National Park,Bird,2,Caprimulgiformes,Caprimulgidae,271703,555544,Active,Phalaenoptilus nuttallii,common poorwill,,Present
SAGU,Saguaro National Park,Bird,2,Charadriiformes,Charadriidae,77646,176520,Active,Charadrius vociferus,Killdeer,,Present
SAGU,Saguaro National Park,Bird,2,Charadriiformes,Scolopacidae,631809,726049,Active,Actitis macularius,Spotted Sandpiper,Actitis macularia,Present
SAGU,Saguaro National Park,Bird,2,Columbiformes,Columbidae,82677,177071,Active,Columba livia,Rock Dove,,Present
SAGU,Saguaro National Park,Bird,2,Columbiformes,Columbidae,82778,177162,Active,Columbina inca,Inca Dove,,Present
SAGU,Saguaro National Park,Bird,2,Columbiformes,Columbidae,82767,177152,Active,Columbina passerina,CommonGround-dove,Columbigallina pallescens pallescens,Present
SAGU,Saguaro National Park,Bird,2,Columbiformes,Columbidae,525775,676899,Active,Patagioenas fasciata,Band-tailed Pigeon,Columba fasciata,Present
SAGU,Saguaro National Park,Bird,2,Columbiformes,Columbidae,82733,177121,Active,Zenaida asiatica,white-winged dove,,Present
SAGU,Saguaro National Park,Bird,2,Columbiformes,Columbidae,82737,177125,Active,Zenaida macroura,Mourning Dove,,Present
SAGU,Saguaro National Park,Bird,2,Coraciiformes,Alcedinidae,83966,178106,Active,Megaceryle alcyon,Belted Kingfisher,Ceryle alcyon,Present
SAGU,Saguaro National Park,Bird,2,Cuculiformes,Cuculidae,89102,177831,Active,Coccyzus americanus,Yellow-billed Cuckoo,Coccyzus americanus occidentalis,Present
SAGU,Saguaro National Park,Bird,2,Cuculiformes,Cuculidae,89107,177836,Active,Geococcyx californianus,Greater Roadrunner,,Present
SAGU,Saguaro National Park,Bird,2,Falconiformes,Falconidae,81843,175595,Active,Caracara cheriway,"Crested Caracara, Northern Crested Caracara",,Present
SAGU,Saguaro National Park,Bird,2,Falconiformes,Falconidae,82533,175613,Active,Falco columbarius,Merlin,,Present
SAGU,Saguaro National Park,Bird,2,Falconiformes,Falconidae,81853,175603,Active,Falco mexicanus,Prairie Falcon,,Present
SAGU,Saguaro National Park,Bird,2,Falconiformes,Falconidae,81854,175604,Active,Falco peregrinus,Peregrine Falcon,,Present
SAGU,Saguaro National Park,Bird,2,Falconiformes,Falconidae,82543,175622,Active,Falco sparverius,American Kestrel,,Present
SAGU,Saguaro National Park,Bird,2,Galliformes,Odontophoridae,84296,175877,Active,Callipepla gambelii,Gambel's quail,Lophortyx gambelii,Present
SAGU,Saguaro National Park,Bird,2,Galliformes,Odontophoridae,84291,175872,Active,Callipepla squamata,Scaled Quail,,Present
SAGU,Saguaro National Park,Bird,2,Galliformes,Odontophoridae,84323,175900,Active,Cyrtonyx montezumae,Montezuma Quail,,Present
SAGU,Saguaro National Park,Bird,2,Galliformes,Phasianidae,86451,176136,Active,Meleagris gallopavo,Wild Turkey,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Aegithalidae,90923,178764,Active,Psaltriparus minimus,bushtit,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Alaudidae,264079,554256,Active,Eremophila alpestris,Horned Lark,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Bombycillidae,88296,178532,Active,Bombycilla cedrorum,Cedar Waxwing,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Cardinalidae,94228,179124,Active,Cardinalis cardinalis,Northern Cardinal,Richmondena cardinalis superbus,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Cardinalidae,94237,179132,Active,Cardinalis sinuatus,Pyrrhuloxia,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Cardinalidae,94258,179151,Active,Passerina amoena,Lazuli Bunting,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Cardinalidae,628204,726198,Active,Passerina caerulea,Blue Grosbeak,Guiraca caerulea,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Cardinalidae,94257,179150,Active,Passerina cyanea,Indigo Bunting,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Cardinalidae,94259,179152,Active,Passerina versicolor,Varied Bunting,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Cardinalidae,94246,179140,Active,Pheucticus melanocephalus,Black-headed Grosbeak,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Cardinalidae,88072,179884,Active,Piranga flava,hepatic tanager,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Cardinalidae,88070,179882,Active,Piranga ludoviciana,Western tanager,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Cardinalidae,88076,179888,Active,Piranga rubra,Summer Tanager,Piranga rubra cooperi,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Certhiidae,90967,178803,Active,Certhia americana,brown creeper,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Corvidae,266936,554128,Active,Aphelocoma californica,"Western Scrub Jay, Western Scrub-Jay",,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Corvidae,87079,179707,Active,Aphelocoma ultramarina,Gray-breasted Jay,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Corvidae,87099,179725,Active,Corvus corax,Common Raven,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Corvidae,86257,179685,Active,Cyanocitta stelleri,Stellar's Jay,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Corvidae,87124,179748,Active,Gymnorhinus cyanocephalus,Pinyon Jay,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Corvidae,87127,179750,Active,Nucifraga columbiana,Clark's Nutcracker,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Fringillidae,95282,179232,Active,Carduelis lawrencei,Lawrence's Goldfinch,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Fringillidae,95283,179233,Active,Carduelis pinus,Pine Siskin,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Fringillidae,95284,179234,Active,Carduelis psaltria,Lesser Goldfinch,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Fringillidae,94301,179190,Active,Carpodacus cassinii,Cassin's Finch,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Fringillidae,94302,179191,Active,Carpodacus mexicanus,House Finch,Carpodacus mexicanus frontalis,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Fringillidae,94296,179186,Active,Carpodacus purpureus,purple martin,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Fringillidae,94282,179173,Active,Coccothraustes vespertinus,Evening Grosbeak,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Fringillidae,95311,179259,Active,Loxia curvirostra,Red Crossbill,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Hirundinidae,87409,178448,Active,Hirundo rustica,Barn Swallow,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Hirundinidae,87417,178455,Active,Petrochelidon pyrrhonota,Cliff Swallow,Hirundo pyrrhonota,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Hirundinidae,87427,178464,Active,Progne subis,Purple Martin,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Hirundinidae,87404,178443,Active,Stelgidopteryx serripennis,Northern Rough-winged Swallow,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Hirundinidae,87391,178431,Active,Tachycineta bicolor,Tree Swallow,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Hirundinidae,87386,178427,Active,Tachycineta thalassina,violet-green swallow,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Icteridae,93613,179045,Active,Agelaius phoeniceus,Red-winged Blackbird,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Icteridae,93667,179094,Active,Euphagus cyanocephalus,Brewer's Blackbird,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Icteridae,264102,554267,Active,Icterus bullockii,Bullock's Oriole,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Icteridae,93641,179070,Active,Icterus cucullatus,Hooded Oriole,Icterus cucullatus nelsoni,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Icteridae,93654,179082,Active,Icterus parisorum,Scott's Oriole,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Icteridae,94219,179116,Active,Molothrus aeneus,Bronzed Cowbird,Tangavius aeneus,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Icteridae,94215,179112,Active,Molothrus ater,Brown-headed Cowbird,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Icteridae,94211,179109,Active,Quiscalus mexicanus,Great-tailed Grackle,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Icteridae,93601,179034,Active,Sturnella magna,Eastern Meadowlark,Sturnella magna lilianae,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Icteridae,93606,179039,Active,Sturnella neglecta,Western Meadowlark,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Icteridae,93611,179043,Active,Xanthocephalus xanthocephalus,Yellow-headed Blackbird,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Laniidae,88277,178515,Active,Lanius ludovicianus,Loggerhead Shrike,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Mimidae,88394,178620,Active,Mimus polyglottos,Northern Mockingbird,Mimus polyglottos leucopterus,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Mimidae,90009,178654,Active,Oreoscoptes montanus,Sage Thrasher,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Mimidae,89989,178636,Active,Toxostoma bendirei,Bendire's Thrasher,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Mimidae,90007,178652,Active,Toxostoma crissale,Crissal Thrasher,Toxostoma dorsale,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Mimidae,89990,178637,Active,Toxostoma curvirostre,curve-billed thrasher,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Paridae,472370,650445,Active,Baeolophus ridgwayi,Juniper Titmouse,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Paridae,266964,554141,Active,Baeolophus wollweberi,Bridled Titmouse,Parus wollweberi,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Paridae,265880,554385,Active,Poecile gambeli,Mountain Chickadee,Parus gambeli,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Parulidae,92737,178970,Active,Cardellina rubrifrons,Red-faced Warbler,,Present
SAGU,Saguaro National Park,Bird,2,Passeriformes,Parulidae,92649,178891,Active,Dendroica coronata,yellow-rumped warbler,"Dendroica coronata auduboni, Dendroica auduboni",Present
