Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Artiodactyla,Bovidae,86816,183838,Active,Bos taurus,domestic cow,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Artiodactyla,Bovidae,95061,180711,Active,Ovis canadensis,"bighorn sheep, Bighorn Sheep",,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,"mule deer, Mule Deer",Odocoileus hemionus californicus,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Artiodactyla,Suidae,95073,180722,Active,Sus scrofa,domestic pig,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",Urocyon cinereoargenteus californicus,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red Fox,,Probably Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Felidae,93329,180589,Active,Felis silvestris,domestic cat,,Probably Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,mountain lion,Felis concolor,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Mephitidae,93309,180570,Active,Spilogale putorius,"Alleghanian Spotted Skunk, Eastern Spotted Skunk, spotted skunk",,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Mustelidae,93296,180559,Active,Martes americana,"American Marten, Marten",,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Mustelidae,93298,180560,Active,Martes pennanti,"Pacific fisher, fisher","Martes pennanti pacifica, Pekania pennanti",Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,Ermine,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,"American Badger, Badger",,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,"ringtail, western ringtail",Bassariscus astutus raptor,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,"common raccoon, Northern Raccoon, Raccoon",,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,"American Black Bear, black bear",,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Chiroptera,Molossidae,89602,180080,Active,Eumops perotis,western mastiff bat,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Chiroptera,Molossidae,89610,180088,Active,Tadarida brasiliensis,"Brazilian Free-tailed Bat, Mexican Free-tailed Bat",,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Chiroptera,Vespertilionidae,88728,180006,Active,Antrozous pallidus,Pallid Bat,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,Big Brown Bat,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Chiroptera,Vespertilionidae,88733,180010,Active,Euderma maculatum,"Pinto Bat, Spotted Bat",,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,"Black Bat, Silver-black Bat, Silver-haired Bat",,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Chiroptera,Vespertilionidae,260642,552512,Active,Lasiurus blossevillii,"Eastern Red Bat, red bat",Lasiurus borealis,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,"Hoary Bat, Northern Hoary Bat",,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,California myotis,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Chiroptera,Vespertilionidae,88713,179994,Active,Myotis ciliolabrum,western small-footed myotis,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Chiroptera,Vespertilionidae,88714,179995,Active,Myotis evotis,"Long-eared Myotis, Western Long-eared Bat",,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,little brown myotis,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Chiroptera,Vespertilionidae,88724,180002,Active,Myotis thysanodes,Fringed Myotis,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,Long-legged Myotis,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Chiroptera,Vespertilionidae,88726,180004,Active,Myotis yumanensis,Yuma Myotis,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Chiroptera,Vespertilionidae,88748,180024,Active,Pipistrellus hesperus,Western Pipistrelle,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Chiroptera,Vespertilionidae,88752,180028,Active,Plecotus townsendii,"mule-eared bat, Pacific Townsend's big-eared bat, Townsend's Big-eared Bat, western big-eared bat, western long-eared bat, western lump-nosed bat",Corynorhinus townsendii,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Didelphimorphia,Didelphidae,88114,179921,Active,Didelphis virginiana,Virginia Opossum,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Lagomorpha,Leporidae,89644,180118,Active,Lepus townsendii,white-tailed hare,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Lagomorpha,Leporidae,89650,180123,Active,Sylvilagus bachmani,"Brush Rabbit, Riparian Brush Rabbit",,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Lagomorpha,Ochotonidae,89634,180109,Active,Ochotona princeps,"American Pika, Cony, Hay-maker, Little Chief Hare, Mouse Hare, Piping Hare, Rock Rabbit, Southern Pika, Whistling Hare",,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Rodentia,Aplodontiidae,89661,180133,Active,Aplodontia rufa,"Mountain Beaver, Sewellel",,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,American Beaver,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Rodentia,Cricetidae,91695,180305,Active,Microtus californicus,"Amargosa Vole, California Vole",,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Rodentia,Cricetidae,90768,180299,Active,Microtus longicaudus,"Coronation Island vole, Long-tailed Vole",Microtus longicaudus sierrae,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Rodentia,Cricetidae,91701,180310,Active,Microtus montanus,Montane Vole,"Microtus montanus montanus, Microtus montanus dutcheri",Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Rodentia,Cricetidae,91768,180371,Active,Neotoma cinerea,bushy-tailed woodrat,Neotoma cinerea acraia,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Rodentia,Cricetidae,731275,-9757039,Inactive,Neotoma macrotis simplex,big-earde woodrat,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Rodentia,Cricetidae,90750,180282,Active,Peromyscus boylii,"brush mouse, southern brush mouse","Peromyscus boylii boylii, Peromyscus boylii rowleyi",Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Rodentia,Cricetidae,90751,180283,Active,Peromyscus californicus,"California Deermouse, California Mouse",Peromyscus californicus mariposae,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,Sonoran deer mouse,"Peromyscus maniculatus sonoriensis, Peromyscus maniculatus gambelii",Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Rodentia,Cricetidae,90760,180291,Active,Peromyscus truei,pinyon mouse,Peromyscus truei gilberti,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Rodentia,Cricetidae,91754,180359,Active,Phenacomys intermedius,"Heather Vole, Western Heather Vole",,Probably Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Rodentia,Cricetidae,91737,180343,Active,Reithrodontomys megalotis,Western Harvest Mouse,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Rodentia,Dipodidae,91785,180387,Active,Zapus princeps,Western Jumping Mouse,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Rodentia,Erethizontidae,91792,180393,Active,Erethizon dorsatum,"common porcupine, porcupine",,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Rodentia,Geomyidae,90684,180222,Active,Thomomys bottae,Botta's Pocket Gopher,Thomomys bottae mewa,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Rodentia,Geomyidae,90689,180227,Active,Thomomys monticola,Mountain Pocket Gopher,,Present
SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Rodentia,Heteromyidae,260597,552491,Active,Chaetodipus californicus,California pocket mouse,"Perognathus californicus, Chaetodipus californicus ochrus",Present
