Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
WICA,Wind Cave National Park,Mammal,1,Artiodactyla,Antilocapridae,95067,180717,Active,Antilocapra americana,"Antelope, pronghorn, Pronghorn antelope, pronghorns",,Present
WICA,Wind Cave National Park,Mammal,1,Artiodactyla,Bovidae,107797,203618,Active,Bos bison,"American bison, American Bison, bison",Bison bison,Present
WICA,Wind Cave National Park,Mammal,1,Artiodactyla,Bovidae,95061,180711,Active,Ovis canadensis,Bighorn Sheep,,Present
WICA,Wind Cave National Park,Mammal,1,Artiodactyla,Cervidae,95042,180695,Active,Cervus elaphus,elk,Cervus canadensis,Present
WICA,Wind Cave National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,mule deer,,Present
WICA,Wind Cave National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,White-tailed deer,,Present
WICA,Wind Cave National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,"Coyote, coyotes",,Present
WICA,Wind Cave National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red Fox,,Present
WICA,Wind Cave National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,bobcat,Felis rufus,Present
WICA,Wind Cave National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,mountain lion,"Puma concolor missoulensis, Felis concolor, Felis concolor missoulensis",Present
WICA,Wind Cave National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,"skunk, striped skunk",,Present
WICA,Wind Cave National Park,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,Ermine,,Present
WICA,Wind Cave National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,weasels,,Present
WICA,Wind Cave National Park,Mammal,1,Carnivora,Mustelidae,93294,180557,Active,Mustela nigripes,Black-footed Ferret,,Present
WICA,Wind Cave National Park,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,American Mink,Neovison vison,Present
WICA,Wind Cave National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,Badger,,Present
WICA,Wind Cave National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,"raccoon, Racoon",,Present
WICA,Wind Cave National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,"pale Townsend's big-eared bat, Townsend's big-eared bat, pale Townsend's big-eared bat","Corynorhinus townsendii pallescens, Plecotus townsendii, Plecotus townsendii pallescens",Present
WICA,Wind Cave National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,Big Brown Bat,Eptesicus fuscus pallidus,Present
WICA,Wind Cave National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,"Black Bat, Silver-black Bat, Silver-haired Bat",,Present
WICA,Wind Cave National Park,Mammal,1,Chiroptera,Vespertilionidae,88739,180016,Active,Lasiurus borealis,"Eastern Red Bat, red bat",,Present
