Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
WRST,Wrangell - St Elias National Park and Preserve,Mammal,1,Artiodactyla,Bovidae,95055,180706,Active,Bison bison,Bison,Bos bison,Present
WRST,Wrangell - St Elias National Park and Preserve,Mammal,1,Artiodactyla,Bovidae,891496,898933,Active,Bison bison athabascae,Wood bison,,Present
WRST,Wrangell - St Elias National Park and Preserve,Mammal,1,Artiodactyla,Bovidae,95063,180713,Active,Oreamnos americanus,Mountain goat,,Present
WRST,Wrangell - St Elias National Park and Preserve,Mammal,1,Artiodactyla,Bovidae,95060,180710,Active,Ovis dalli,"Dall's sheep, Thinhorn sheep, mountain sheep",Ovis dalli dalli,Present
WRST,Wrangell - St Elias National Park and Preserve,Mammal,1,Artiodactyla,Cervidae,95052,180703,Active,Alces alces,Moose,"Alces alces gigas, Alces americanus",Present
WRST,Wrangell - St Elias National Park and Preserve,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,"black tailed deer, mule deer",,Present
WRST,Wrangell - St Elias National Park and Preserve,Mammal,1,Artiodactyla,Cervidae,107259,202411,Active,Rangifer tarandus caribou,"woodland caribou, mountain caribou, Chisana herd",Rangifer tarandus granti,Present
WRST,Wrangell - St Elias National Park and Preserve,Mammal,1,Artiodactyla,Cervidae,891486,898935,Active,Rangifer tarandus groenlandicus,"barren-ground caribou, Mentasta herd, Nelchina herd",,Present
WRST,Wrangell - St Elias National Park and Preserve,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Present
WRST,Wrangell - St Elias National Park and Preserve,Mammal,1,Carnivora,Canidae,93337,180596,Active,Canis lupus,"Gray wolf, Wolf",,Present
WRST,Wrangell - St Elias National Park and Preserve,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red fox,,Present
WRST,Wrangell - St Elias National Park and Preserve,Mammal,1,Carnivora,Felidae,93325,180585,Active,Lynx canadensis,Lynx,,Present
WRST,Wrangell - St Elias National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93283,180547,Active,Enhydra lutris,Sea otter,,Present
WRST,Wrangell - St Elias National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93288,180551,Active,Gulo gulo,Wolverine,,Present
WRST,Wrangell - St Elias National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,"River otter, Land otter",Lutra canadensis,Present
WRST,Wrangell - St Elias National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93296,180559,Active,Martes americana,American marten,,Present
WRST,Wrangell - St Elias National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,"Ermine, Short-tailed weasel",,Probably Present
WRST,Wrangell - St Elias National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,Mink,,Probably Present
